Site,Zone,Time,Tide,Species,Number,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?,,
EP,1,10:07,low,YLEGS,1,Beach,,1,,,,vis ,,
EP,1,10:07,low,SPPLOV,1,beach,,1,,,,vis ,,
EP,1,10:09,low,LSPIP,1,flying,1,,,,,vis ,,
EP,1,10:09,low,HEG,1,flying,1,,,,,vis ,,
EP,1,10:10,low,HEG,1,beach,,,1,,,vis ,,
EP,1,10:14,low,BBPLOV,1,beach,,1,,,,vis ,,
EP,1,10:15,low,YLEGS,1,flying,1,,,,,vis ,,
EP,1,10:15,low,CROW,2,dune,1,,1,,,vis ,,
EP,1,10:17,low,HEG,1,flying,,,,,,vis ,,
EP,1,10:30,low,LSPIP,2,beach,,1,,,,vis ,,
EP,1,10:30,low,SPPLOV,2,beach,,1,,,,vis ,,
EP,1,10:30,low,HEG,1,flying,,,,,,vis ,,
EP,1,10:31,low,SPPLOV,9,flying,1,,,,,vis ,,
EP,1,10:31,low,GREGR,1,beach,,,,1,,vis ,,
EP,1,10:33,low,harrier,1,flying,1,1,,,,vis ,,
EP,1,10:33,low,willett,1,beach,,1,,,,vis ,,
EP,1,10:36,low,BBG,1,flying,1,,,,,vis ,,
EP,1,10:40,low,SPPLOV,1,flying,1,,,,,vis ,,
EP,1,10:53,low,KING,1,t9 flying,1,1,,,,vis ,,
EP,1,10:54,low,CORM,1,flying,1,,,,,vis ,,
EP,1,10:54,low,HEG,1,flying,1,,,,,,,
EP,1,10:55,low,EGR,1,flying,1,,,,,,,
EP,1,10:57,low,HEG,3,flying,1,,,,,,,
EP,2,4:00,mid,GBBG,1,beach,,,,,,vis,9/3/15,high tide
EP,2,4:00,mid,HEG,2,beach,,,1,,,vis,,
EP,2,4:03,mid,SMSPAR,1,marsh,1,,1,,,both,,
EP,2,4:04,mid,HEG,1,beach,3,,,,,vis,,
EP,2,4:06,mid,COTE,2,marsh,1,,,,,both,,
EP,2,4:06,mid,GBBG,1,marsh,1,,,,,vis,,
EP,2,4:08,mid,KUTU,1,beacg,1,,,1,,,,
