Time: 10 am,,Site: Eel pt,Tide: low,,,,,,,
Time,Species,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?,,
10:07,"less, Y legs",Beach,,foraging,,,,vis ,,
10:07,semo pal plour (9),beach,,foraging,,,,vis ,,
10:09,lea sandpiper,flying,through marsh,,,,,vis ,,
10:09,heg Herring ,flying,S through Marsh,,,,,vis ,,
10:10,Heg herring ,beach,,,loafing,,,vis ,,
10:14,Bl Bell plov,beach,,foraging,,,,vis ,,
10:15,"less, Y legs",flying,"wow, marsh",,,,,vis ,,
10:15,crow (2),dune,sthrough marsh ,,perched,,,vis ,,
10:17,hergull,flying,,,,,,vis ,,
10:30,lea sandpiper (2),beach,,foraging,,,,vis ,,
10:30,semi pplov (2),beach,,foraging,,,,vis ,,
10:30,hergull,flying,,,,,,vis ,,
10:31,semi (9),flying,over beach,,,,,vis ,,
10:31,Gr egr,beach,,,,fly from D-ne,,vis ,,
10:33,harrier,flying,e w over marsh,foraging,,,,vis ,,
10:33,willett,beach,,foraging,,,,vis ,,
10:36,bb gull,flying,over march,,,,,vis ,,
10:40,semi pplov ,flying,over beach,,,,,vis ,,
10:53,kingfisher,t9 flying,over creek,foraging,,,,vis ,,
10:54,dccorm,flying,n over marsh,,,,,vis ,,
10:54,hergull,flying,se over marsh,,,,,,,
10:55,Sno egr ,flying,w over marsh,,,,,,,
10:57,hergull (3),flying,e over marsh,,,,,,,
4:00,gbbg,beach,,,,,,vis,9/3/15,high tide
4:00,2herg,beach,,,loading,,,vis,,
4:03,smsp,marsh,hopping around,,loading,,,both,,
4:04,herg,beach,3,,,,,vis,,
4:06,2cote,marsh,sr,,,,,both,,
4:06,gbbg,marsh,n over marsh,,,,,vis,,
4:08,kutu,beacg,marsh,,,beach,,,,
4:17,herg,beach,marsh,,on beach,,,vis,,
4:17,cote,flying,,,,,,vis,,
4:18,2 cote,flying,marsh,,,,,v+c,,
4:18,dccor,flying,marsh,,,,,vis,,
4:19,lagu,flying,marsh,,,,,vis,,
4:19,6 cote,flying,marsh,,,,,vis,,
4:20,b belly p,flying,w over meash,,,,,vis,,
4:22,b belly p,beach,marsh,,on beach,,,,,
4:23,free swall,flying,marsh,,,,,vis,,
4:24,2 herg,flying,,,,,,vis,,
4:24,willett,flying,,in marsh,,,,vis,,
4:24,1 cote,flying,marsh,,,,,vis,,
4:25,herg,flying,over marsh,,,,,vis,,
4:32,herg,beach,fly out,,loading,,,vis,,
4:33,bbpl,beach,,,loading,,,call,,
4:34,cote 2,flying,n over marsh,,,,,vis,,
4:36,herg,flying,beach,,,,,vis,,
4:37,mono,flying,s over marsh,,,,,vis,,
4:39,2 cote,flying,e over beach,,,,,vis,,
4:39,dccor,flying,e over beach,,,,,vis,,
4:40,3 cote,flying,w over bmarsh,,,,,vis,,
4:42,dccor,flying,w over beach,,,,,,,
4:46,b belly p,beach,,,loading on beach,,,vis,,
4:46,lesand pipe,beach,,foraging,,,,vis,,
4:48,herg,flying,nw marsh,,,,,vis,,
4:48,b belly p,beach,,,looking,,,vis,,
4:49,b belly p,beach,,,looking,,,vis,,
4:50,herg,flying,over marsh,,,,,vis,,
4:51,14 vesand,flying,,,,,,vis,,
4:55,dcco,flying,,,,on beach,,vis,,
4:55,herg,flying,flying west,,,,,vis,,
9:12,cote 2,flying,s over marsh,,,,,vis,9/3 low tide:9:26,
9:12,herg,flying,s over marsh,,,,,vis,,
9:13,cote 2,flying,se over marsh,,,,,vis,,
9:13,herg2,beach,,,on beachon beach,,,vis,,
9:15,herg,flying,s over marsh,,,,,,,
9:15,cote 2,flying,esges,,,,,,,
9:16,herg,flying,marsh,,,,,,,
9:16,corm,flying,north over marsh,,,,,,,
9:30,corm,flying,over marsh,,,,,vis,,
9:32,hergull (2),flying,"over marsh (s,e)",,,,,vis,,
9:34,smsp (1),marsh,,,,,,vis,,
9:35,b crown ,flying,circling marsh,,,,,vis,,
9:36,gbbg,flying,se over marsh,,,,,vis,,
9:36,osprey,flying,s over marsh,,,,,vis,,
9:38,smsp,flying,,,,,,vis,,
9:38,dccorm,flying,s over marsh,,,,,vis,,
9:38,Bl Bell plov,flying,n over marsh,,,,,vis,,
9:50,hegull (j),flying,s over marsh,,,,,vis,,
9:50,bl Bell plov,beach,,,,,,vis,,
,hegull ,flying,s over marsh,,,,,vis,,
9:50,bl Bell plov,flying,,,,,,vis,,
9:50,semi pplov  (2),beach,,,loading,,,vis,,
9:50,bl Bell plov,flying,n over marsh,,loading,,,vis,,
9:50,am oyst (2),beach,,,loading,,,vis,,
9:51,willett (2),beach,,,,,,vis,,
9:51,can beese (2),beach,,,loading,,,vis,,
9:51,rudd tum,beach,,,,,,vis,,
9:53,bl Bell plov,beach,,foraging,,,,,,
9:53,semi pplov ,beach,,foraging,,,,,,
9:53,sandlings(4),marsh,,foraging,,,,,,
9:54,gbiba gull,beach,,,loading,,,,,
9:54,,beach,,,,on beach,,,,
9:57,smsp,marsh,,,,,callma,c,,
9:58,goldfinch,flying,,,,,,c,,
9:58,hegull ,flying,over beach s,,,,,vis,,
9:58,corm,flying,s over marsh,,,,,vis,,
9:59,sno egr ,beach,,in water,,,,vis,,
9:59,bl Bell plov,beach,,,loading,,,,,
