,Date: __8/9__,,Site: __Glades__,,Observer: Marc,,,
,AM/PM:__3:30 PM__,,,Low/High/Mid Tide:_Low__,,,ZONE_1_,
,,,,,,,,
Time,Species,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?
A- 10:00,HEGULL,T2 bank,,_,,,,V
A- 10:00,CROW,T1 woods,,,,,unkown,C
A- 8:10,PLOV (x3),T4 bank,,_,,,,V
A- 8:10,PLOV (x3),T1 bank,,_,,,,V
A-5:50,BBGULL (x2),Zone 1,_,,_,,,V
B- 9:40,PLOV(x22),Zone 1--?,_,,,,,V
B- 9:10,HEGULL,T4 bank,,,,,,V
B- 4:10,TSWAL,T1 --?,_,,,,,V
B- 4:10,PLOV (x3),T1 --?,_,,,,,V
C- 10:00,SPAR,T1Q5,_,,,,,V
C- 10:00,RWB,?,,,,,,C
C- 8:10,HEG,Zone 1,_,,,,,V
C- 3:30,SEMIP (x6),Zone 1,_,,,,,V
C- 3:00,CORM,Zone 1,_,,,,,V
C- 1:15,LAGULL(x2),Zone 1,_,,,,,V
C- 1:30,PLOW(x2),T4,,,_,,,V
,Date: __8/9__,,Site: __Glades__,,Observer: Marc,,, Rich Wendy
,AM/PM:__4:30 PM__,,,Low/High/Mid Tide:_Low__,,,ZONE_3_,
,,,,,,,,
Time,Species,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?
G- 10:00,BBG (x2),,_,,,,,V
G- 10:00 ,RWB,,,,,,?,C
F- 6:10,TSWAL (x7),,,,_,,,V
F- 3:40,BSWAL,,_,,,,,V
F- 1:00,BSWAL,,_,_,,,,V
F- 6:00,TSWAL (x2),,_,_,,,,V
F- 10:00,PLOV (x3),,_,,,,,V
F- 10:00,CROW,,_,,,,,V
E- 3:50,BSWAL (x2),,_,_,,,,V
E- 1:15,PLOV (x3),,,,_,,,V
,Date: __8/9__,,Site: __Glades__,,Observer: Marc,,,
,AM/PM:__3:30 PM__,,,Low/High/Mid Tide:_Low__,,,ZONE_2_,
,,,,,,,,
Time,Species,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?
D- 10:00,EGR,Zone 2,_,,,,,V
D- 8:00,LAGULL,Zone 2,_,,,,,V
D- 8:00,PLOV,Zone 2 rocks,,,_,,,C
D- 7:00,SEMI PLOV (x3),T5,,,,,,V
E- 10:00,PLOV (x3),T5Q1,_,,_,,,V
E- 6:40,TSWAL,T8Q1,_,,,_,,V
E- 4:30,LAGULL,Zone 2,_,_,,,,V
E- 4:30,SEMI PLOV (x3),Zone 2,_,,,,,V
E- 1:10,CORM (x2),T5Q1,,_,,,,V
F- 10:00,SEMI P (x7),Zone 2,_,,,,,V
F-9:50,LAGULL,T5 bank,,_,,,,V
F- 8:00,PIP PLOV (x3),Zone 2,_,,,,,V
F- 6:00,TSWAL,T5 bank,,_,,,,V
F- 4:30,BBGULL -J,Zone 2,_,_,,,,V
F- 2:15,SPAR,Zone 2,_,,,,,
,Date: __8/11__,,Site: __Glades__,,Observer: Marc,,,
,AM/PM:__12:00 PM__,,,Low/High/Mid Tide:_High__,,,ZONE_3_,
,,,,,,,,
Time,Species,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?
F- 7:30,BSWAL,T9,_,_,,,,V
F- 7:00,HSPAR,T12Iva,,,_,,,C
F- 6:15,EGR,T10Q2,,_,_,,,V
F- 2:15,BSWAL,Creek,_,_,,,,V
F- 10:30,PI PLOV (x3),Edge of T12,,_,,,,V
G- 10:00,CAT,Trees,,,,,?,C
G- 6:00,TSWAL,Creek,_,_,,,,V
E- 10:00,PI PLOV (x3),Edge,,_,,,,V
