,Date:7/29/14,,Site:Nan,,Observer:____________,,,,,
,AM/PM: 4 pm,,,Low/High/Mid Tide:high (falling),,,ZONE:1,,,
,,,,,,,,,,
Time,Species,Where,Flying,Hunting,Sitting,Landing,Other,Vis/Call?,Zone 1,
4pm:9:50,Harrier ,Edge/Dune,,,,,,,,
,WHT,T3,,,,,Eating fid,,,
,HEQ,CREEK,,,,,swimming,,,
,Swoe (x2),,,,,,,,,
,EGR,,,,,,,,,
,SPAR,,,,,,,,,
4:50PM,wild (x10),T4 BANK,,,,,preening,,,
,,T 4 BANK,,,,,preening,,,
2:15PM,CROW (x2),T1Q2,,,,,preening,,,
3:20PM,DOW (x2),T4Q1,,,,,,,,
2:10pm,WILL (x2),T1Q3,,,,,preening,,,
,,,,,,,,,,
4:40:10:00pm,Oys (x2),t3/T4,,,,,,,,
8:50pm,crow (x2),,,,,,,,,
10:08pm,whim (x2),,,,,,,,,
,dow (x3),,,,,,,,,
,Snoe ,,,,,,,,,
6:40pm,pow/will (x16),,,,,,,,,
3:10pm,spow (x10),T4Q1,,,,,,,,
,,,,,,,,,,
10:00pm,snoe,T3Q3,,,,,,,,
9:30pm,oys (x4),T3Q3,,,,,,,,
9:30pm,yelo (18),,,,,,,,,
,,,,,,,,,,
,duck (x4),by creek,,,,,,,,
,,,,,,,,,,
7:40pm,duck,,,,,,,,,
2:10pm,swal (x5),,,,,,,,,
2:10pm,bswal (x5),,,,,,,,,
,,,,,,,,,,
,plover,,,,,,,,,
9:45,"duck (3f,1m)",t12 pond,,,,,swimming,,Zone 3,
,Osprey,,,,,,,,,
,robin,back creek,,,,,,,,
,spemulan,x2,,,,,,,,
10:00 PM,duck ,pond,,,,,,,,
9:10,sparrow,,,,,,,c,,
6:50,"osprfy (J,A)",over head,,,,,,,,
4:10,duck,pond/back,,,,,,,,
3:00,AEG,fly whole,,,,,,,,
,,,,,,,,,,
31-Jul,8:00 AM,Low tide,,,,,,,,
9:30,semi,sand back/Q1,,,,,,,Zone 1,A
,heg,sand Q4,,,,,,,,
,heg,T3,,,,,,,,
8:15,bswal,T3,,,,,,,,
6:00,spar,t4,,,,,,,,
1:00,osp(x3),edge,,,,,,,,
10:00,snoe (x2),t4,,,,,,,,B
,egr,T4,,,,,,,,
,bswal,whole Z,,,,,,,,
,will (x2),T4 bank,,,,,,,,
10:00,Heg,,,,,,,,,E
9:00,spar,T4,,,,,,,,
8:00,ltern (x3),all,,,,,,,,
,Bswal,all,,,,,,,,
,"sf,mip (x4)",pond,,,,,,,,
,Tswal,Whole Z,,,,,,,,
,bswal,whole Z,,,,,,,,
,will (x2),creek,,,,,,,,
,ltern ,creek,,,,,,,,
,Tswal,whole Z,,,,,,,,
10:00,heg,bank T6,,,,,eating mussel,, A,Zone 2
1,snoe ,bank t5,,,,,,,,
8:40,will ,bank t5,,,,,,,,
1:50,will (x5),,,,,,,,,
1,tswal (x2),,,,,,,,,
7:50,Bswal ,T5,,,,,,,B,
5:00,Bswal ,T7,,,,,,,,
3:00,corm,T5,,,,,,,,
2:50,Bswal ,T5,,,,,,,,
10:00,whim(x5),bank,,,,,,,C,
,semip (x4),Ba12,,,,,,,,
9:50,Whim(x5),ba12,,,,,,,,
8:00,dow,ba12,,,,,,,,
6:00,spar,T7,,,,,,,,
1:00,tswal,T6,,,,,,,,
,Bswal (x3),T5,,,,,,,,
,Spar ,T5,,,,,tall sp stem,,,
31-Jul,Pm,High tide ,,,,,,,,
8:50,crow,T4 bank,,,,,,,A,Zone 2
8:10,EGR,,,,,,,,,
4:15,OYS (x2),z2-> z3,,,,,,,,
8:15,Iswal,,,,,,,,F,
1,Bswal,zz,,,,,,,,
4:00,whim (x13),T5Q1,,,,,,,,
1:10,Bswal,T8,,,,,,,,
,Whum (17),island bank,,,,,,,E,
4:00,Tswal (x2),22,,,,,,,,
,Bswal (x2),,,,,,,,,
2:00,plover,bank,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
