day,trans,Q1,Q2,Q3,Q4,Q5
1,1,w,w,w,w,w
2,1,w,w,w,w,w
3,1,w,s,p,s,w
4,1,w,s,p,s,w
1,2,m,w,w,w,m
2,2,m,w,w,w,m
3,2,m,s,w,p,m
4,2,m,s,w,p,w
1,3,w,w,p,w,w
2,3,w,w,p,s,w
3,3,w,w,p,p,p
4,3,w,w,p,p,p
1,4,w,w,w,w,w
2,4,w,w,w,w,w
3,4,w,s,s,w,w
4,4,p,s,p,s,p
1,5,w,w,w,w,w
2,5,w,w,w,w,w
3,5,w,w,w,w,w
4,5,m,s,w,p,p
1,6,s,w,w,w,w
2,6,s,w,w,w,w
3,6,s,w,w,w,w
4,6,s,m,p,s,m
1,7,w,w,w,w,w
2,7,w,w,w,w,w
3,7,w,w,w,w,w
4,7,w,p,s,s,w
1,8,w,w,w,w,w
2,8,w,w,w,w,w
3,8,w,w,w,w,w
4,8,w,w,w,s,w
1,9,w,w,w,w,w
2,9,w,w,w,w,w
3,9,w,w,w,s,w
4,9,m,w,w,s,w
1,10,w,w,w,w,w
2,10,w,w,w,s,w
3,10,w,w,w,s,w
4,10,w,p,w,s,s
1,11,w,w,w,w,w
2,11,w,w,w,w,w
3,11,w,w,w,w,w
4,11,w,w,w,w,w
1,12,w,s,w,w,w
2,12,w,s,w,w,w
3,12,w,s,w,w,w
4,12,w,s,w,w,w
