Day,Trans,Q1,Q2,Q3,Q4,Q5
1,1,w,w,w,w,NA
1,2,w,w,w,w,NA
1,3,w,w,w,w,NA
1,4,w,w,w,w,NA
1,5,w,w,w,w,NA
1,6,w,w,w,w,NA
1,7,w,w,w,w,NA
1,8,w,w,w,w,NA
1,9,w,w,w,w,NA
1,10,w,w,w,w,NA
1,11,w,w,w,w,NA
1,12,w,w,w,w,NA
2,1,w,w,w,w,NA
2,2,w,w,w,w,NA
2,3,w,w,w,w,NA
2,4,w,w,w,w,NA
2,5,w,w,w,w,NA
2,6,w,w,w,w,NA
2,7,w,w,w,w,NA
2,8,w,w,w,w,NA
2,9,w,w,w,w,NA
2,10,w,w,w,w,NA
2,11,w,w,w,w,NA
2,12,w,w,w,w,NA
3,1,w,w,s,w,NA
3,2,w,m,s,s,NA
3,3,w,s,s,w,NA
3,4,w,w,w,w,NA
3,5,w,w,w,w,NA
3,6,s,w,w,w,NA
3,7,s,s,w,w,NA
3,8,s,w,p,w,NA
3,9,w,w,w,w,NA
3,10,w,p,w,w,NA
3,11,w,p,p,w,NA
3,12,w,w,w,w,NA
4,1,w,w,p,w,NA
4,2,w,m,p,p,NA
4,3,w,p,p,w,NA
4,4,w,w,w,w,NA
4,5,w,w,w,w,NA
4,6,p,w,w,w,NA
4,7,p,p,w,w,NA
4,8,p,w,p,w,NA
4,9,w,w,w,w,NA
4,10,w,p,w,w,NA
4,11,w,p,p,w,NA
4,12,w,w,w,w,NA
