Day,Trans,Q1,Q2,Q3,Q4,Q5
1,1,W,W,W,W,S
2,1,W,W,W,W,S
3,1,P,S,W,W,P
4,1,P,S,W,W,P
1,2,W,P,W,W,W
2,2,W,P,W,W,W
3,2,W,P,W,W,W
4,2,W,P,W,W,W
1,3,W,P,P,W,P
2,3,W,P,P,W,P
3,3,W,M,P,W,M
4,3,W,M,P,W,M
1,4,W,W,W,W,M
2,4,W,W,W,W,M
3,4,P,M,W,W,M
4,4,P,M,W,W,M
1,5,W,W,W,W,S
2,5,W,W,W,W,W
3,5,M,W,W,W,M
4,5,M,W,W,W,M
1,6,W,S,S,S,W
2,6,W,S,S,P,P
3,6,W,S,S,P,P
4,6,W,S,S,P,P
1,7,W,W,S,W,W
2,7,W,W,S,W,S
3,7,W,P,S,W,S
4,7,W,P,S,W,S
1,8,W,S,P,W,P
2,8,W,P,P,W,P
3,8,W,P,P,W,P
4,8,W,P,P,W,P
1,9,P,P,W,P,S
2,9,P,P,W,P,P
3,9,P,P,W,P,P
4,9,P,P,W,P,P
1,10,W,W,W,W,W
2,10,W,P,W,W,W
3,10,W,P,W,W,W
4,10,W,P,W,W,W
1,11,W,W,S,P,S
2,11,W,W,S,P,P
3,11,W,W,P,P,P
4,11,W,W,P,P,P
1,12,W,S,P,S,M
2,12,W,P,P,P,M
3,12,W,P,P,P,M
4,12,W,P,P,P,M
