Day,Trans,Q1,Q2,Q3,Q4,Q5
1,1,w,p,p,s,w
2,1,m,p,s,s,w
3,1,m,m,p,s,w
4,1,m,m,p,s,w
1,2,w,w,w,w,s
2,2,w,p,w,w,s
3,2,w,p,p,w,p
4,2,w,p,p,w,p
1,3,w,w,s,w,s
2,3,w,w,p,p,m
3,3,p,w,p,m,m
4,3,p,w,p,m,m
1,4,w,s,w,p,s
2,4,w,s,s,p,s
3,4,p,m,s,m,p
4,4,p,m,s,m,p
1,5,w,w,s,w,s
2,5,w,w,s,w,s
3,5,p,p,p,s,s
4,5,p,p,p,s,s
1,6,s,s,s,s,w
2,6,s,p,s,p,p
3,6,p,p,p,p,p
4,6,p,p,p,p,p
1,7,w,w,s,s,s
2,7,s,s,p,p,w
3,7,p,s,p,p,w
4,7,p,s,p,p,w
1,8,w,s,s,s,w
2,8,m,p,s,s,s
3,8,m,p,m,s,s
4,8,m,p,m,s,s
1,9,m,w,s,s,w
2,9,m,p,p,w,p
3,9,m,p,s,s,s
4,9,m,p,s,s,s
1,10,w,w,w,w,w
2,10,w,s,p,w,w
3,10,w,p,p,w,p
4,10,w,p,p,s,p
1,11,w,w,s,w,w
2,11,s,s,s,p,w
3,11,p,s,s,p,w
4,11,p,s,s,p,w
1,12,w,w,m,w,w
2,12,p,m,m,s,s
3,12,p,m,m,p,s
4,12,p,m,m,p,s
