Day,Trans,Q1,Q2,Q3,Q4,Q5
1,1,w,w,w,w,s
2,1,w,w,w,w,m
3,1,w,w,w,w,m
4,1,w,p,w,w,m
1,2,w,w,m,w,w
2,2,w,w,m,w,w
3,2,w,w,m,w,w
4,2,w,w,m,w,p
1,3,w,w,w,m,w
2,3,w,w,w,m,w
3,3,w,w,w,m,w
4,3,w,s,p,m,p
1,4,m,w,w,w,w
2,4,m,w,w,w,w
3,4,m,w,w,w,w
4,4,m,w,w,w,w
1,5,w,w,w,w,w
2,5,p,w,w,w,p
3,5,p,w,w,w,p
4,5,p,w,w,w,p
1,6,w,w,w,w,w
2,6,w,w,w,w,p
3,6,w,w,w,w,p
4,6,w,w,w,w,p
1,7,w,w,w,w,w
2,7,p,w,w,w,p
3,7,p,w,w,w,p
4,7,p,w,w,w,p
1,8,w,w,w,w,w
2,8,w,p,w,s,s
3,8,p,p,w,s,s
4,8,p,p,w,s,s
1,9,w,w,w,w,w
2,9,w,w,w,w,w
3,9,w,w,w,w,w
4,9,w,w,w,w,w
1,10,w,w,w,w,w
2,10,w,w,w,w,w
3,10,w,w,w,w,w
4,10,w,w,w,w,w
1,11,w,w,w,w,w
2,11,w,w,w,w,w
3,11,p,w,w,w,w
4,11,p,w,w,w,w
1,12,w,w,w,w,w
2,12,w,w,w,w,w
3,12,p,p,w,w,w
4,12,p,p,w,w,w
