Day,Trans,Q1,Q2,Q3,Q4,Q5
1,1,W,W,W,P,W
2,1,P,W,S,S,P
3,1,P,W,P,P,M
4,1,P,P,M,S,M
1,2,W,W,W,W,P
2,2,W,W,P,S,S
3,2,W,P,M,M,P
4,2,P,P,M,M,P
1,3,W,W,S,W,W
2,3,W,W,M,W,P
3,3,P,W,M,M,P
4,3,P,S,M,W,P
1,4,W,W,W,W,W
2,4,P,P,P,P,S
3,4,P,P,P,P,P
4,4,M,P,M,P,M
1,5,W,W,P,W,W
2,5,W,W,P,W,P
3,5,W,W,P,W,P
4,5,W,W,P,W,P
1,6,P,P,W,W,P
2,6,P,S,S,W,S
3,6,S,S,S,S,S
4,6,S,S,S,W,S
1,7,W,W,P,W,S
2,7,W,W,P,S,S
3,7,W,W,P,P,P
4,7,P,W,P,P,P
1,8,S,W,W,W,W
2,8,P,W,W,M,S
3,8,P,W,W,W,P
4,8,P,S,W,M,M
1,9,P,S,W,M,M
2,9,P,P,P,M,M
3,9,P,P,P,P,M
4,9,P,P,P,M,M
1,10,S,W,W,W,W
2,10,P,P,P,M,M
3,10,M,M,P,P,M
4,10,M,M,P,M,M
1,11,S,P,S,W,M
2,11,P,M,P,P,M
3,11,M,M,P,P,M
4,11,M,M,P,P,M
1,12,W,S,S,M,S
2,12,P,P,M,M,M
3,12,P,P,M,M,M
4,12,M,P,M,M,M
