Day,trans,Q1,Q2,Q3,Q4,Q5
1,1,p,p,p,p,p
2,1,m       ,p,p,p,m
3,1,m,m,m,m,m
4,1,m,m,m,m,m
1,2,m,p,w,w,w
2,2,m,p,w,w,p
3,2,m,p,w,p,p
4,2,m,m,m,m,m
1,3,w,w,w,w,w
2,3,w,w,w,w,w
3,3,w,w,w,p,m
4,3,p,w,w,p,m
1,4,p,w,w,w,w
2,4,p,w,w,w,w
3,4,m,w,w,w,w
4,4,m,s,p,w,m
1,5,p,w,s,w,w
2,5,m,w,p,w,w
3,5,m       ,w,p,w,w
4,5,m,w,p,w,p
1,6,p,p,p,w,w
2,6,p,p,p,w,w
3,6,p,p,p,w,w
4,6,m       ,m,p,p,w
1,7,p,p,w,w,w
2,7,p,p,w,w,w
3,7,p,p,w,w,w
4,7,m,p,w,w,w
1,8,w,w,w,w,w
2,8,w,w,w,w,w
3,8,p,w,w,w,w
4,8,m,w,w,w,w
1,9,p,w,w,w,w
2,9,p,w,w,w,w
3,9,p,w,w,w,w
4,9,p,w,w,w,w
1,10,p,w,w,w,w
2,10,p,w,w,w,w
3,10,p,w,w,w,w
4,10,m,p,p,w,w
1,11,p,w,w,w,w
2,11,p,p,w,w,w
3,11,p,p,w,w,w
4,11,m       ,p,w,w,w
1,12,p,w,w,w,w
2,12,p,w,w,w,w
3,12,m,p,w,w,w
4,12,m,p,w,w,w
