Day,Trans,Q1,Q2,Q3,Q4,Q5
1,1,w,w,w,w,NA
2,1,m,p,w,w,NA
3,1,m,p,w,w,NA
4,1,m,p,w,w,NA
1,2,w,w,w,w,NA
2,2,m,w,w,p,NA
3,2,m,w,w,p,NA
4,2,m,w,w,p,NA
1,3,w,w,w,w,NA
2,3,m,w,w,m,NA
3,3,m,w,w,m,NA
4,3,m,m,p,m,NA
1,4,w,w,w,w,NA
2,4,m,w,w,p,NA
3,4,m,w,w,p,NA
4,4,m,w,w,p,NA
1,5,w,w,w,w,NA
2,5,p,w,w,w,NA
3,5,p,w,w,w,NA
4,5,p,w,w,w,NA
1,6,w,w,w,w,NA
2,6,p,w,w,w,NA
3,6,p,w,w,w,NA
4,6,p,w,w,w,NA
1,7,w,w,w,w,NA
2,7,m,w,w,w,NA
3,7,m,w,w,w,NA
4,7,m,m,w,w,NA
1,8,w,w,w,w,NA
2,8,m,w,w,w,NA
3,8,m,w,w,w,NA
4,8,m,w,w,w,NA
1,9,w,w,w,w,NA
2,9,p,w,w,w,NA
3,9,p,w,w,w,NA
4,9,p,w,m,m,NA
1,10,w,w,w,w,NA
2,10,m,p,w,w,NA
3,10,m,p,w,w,NA
4,10,m,p,w,m,NA
1,11,w,w,w,w,NA
2,11,w,w,w,w,NA
3,11,w,w,w,m,NA
4,11,w,w,w,m,NA
1,12,w,w,w,w,NA
2,12,m,w,w,w,NA
3,12,m,w,w,w,NA
4,12,m,w,m,w,NA
