Day,Trans,Q1,Q2,Q3,Q4,Q5
1,1,M,W,W,W,S
2,1,M,W,W,W,S
3,1,M,S,W,W,P
4,1,M,S,W,W,M
1,2,M,W,W,W,W
2,2,M,W,W,W,S
3,2,M,P,W,W,W
4,2,M,S,P,P,P
1,3,M,W,W,W,P
2,3,M,W,W,W,P
3,3,P,M,P,W,M
4,3,M,S,S,S,M
1,4,M,W,W,W,P
2,4,M,W,W,W,M
3,4,M,W,W,W,M
4,4,M,S,W,W,M
1,5,M,W,W,W,S
2,5,W,W,W,W,W
3,5,W,S,S,P,P
4,5,M,P,P,P,M
1,6,M,W,W,S,P
2,6,M,S,S,S,M
3,6,M,P,P,S,P
4,6,M,P,P,P,M
1,7,M,W,S,W,W
2,7,M,W,S,W,W
3,7,W,P,S,W,S
4,7,M,W,S,W,P
1,8,W,W,W,W,S
2,8,M,W,W,W,S
3,8,W,P,P,W,P
4,8,M,P,P,W,P
1,9,P,W,P,M,P
2,9,P,W,W,M,P
3,9,P,P,W,M,P
4,9,P,P,W,M,P
1,10,W,W,W,S,S
2,10,M,S,S,S,P
3,10,W,P,S,S,P
4,10,M,P,P,P,P
1,11,P,W,S,S,W
2,11,M,W,S,S,M
3,11,W,W,P,P,M
4,11,M,W,P,P,M
1,12,M,S,P,S,W
2,12,M,P,P,P,W
3,12,W,P,P,P,M
4,12,M,P,M,P,M
