Day,Trans,Q1,Q2,Q3,Q4,Q5
1,1,m,m,w,m,w
2,1,m,m,w,m,w
3,1,m,m,w,m,w
4,1,m,m,w,m,w
1,2,m,w,p,w,m
2,2,m,w,p,w,m
3,2,m,w,p,w,m
4,2,m,w,p,w,m
1,3,m,s,m,w,m
2,3,m,s,m,w,m
3,3,m,s,m,w,m
4,3,m,s,m,w,m
1,4,,,,m,p
2,4,,,,m,p
3,4,,,,m,p
4,4,,,,m,p
1,5,m,w,p,m,s
2,5,m,w,p,m,s
3,5,m,w,p,m,s
4,5,m,w,p,m,s
1,6,m,w,w,w,p
2,6,m,w,w,w,p
3,6,m,w,w,w,p
4,6,m,w,w,w,p
1,7,p,m,m,p,p
2,7,p,m,m,p,p
3,7,p,m,m,p,p
4,7,p,m,m,p,p
1,8,m,w,w,w,m
2,8,m,w,w,w,m
3,8,m,w,w,w,m
4,8,m,w,w,w,m
1,9,w,w,w,w,w
2,9,w,w,w,w,w
3,9,m,w,w,w,w
4,9,m,m,w,w,w
1,10,w,w,w,w,w
2,10,w,w,w,w,w
3,10,m,w,p,w,w
4,10,m,w,p,w,w
1,11,w,w,w,w,w
2,11,w,w,w,w,w
3,11,w,w,w,w,w
4,11,m,p,w,p,w
1,12,w,w,w,w,w
2,12,w,w,w,w,w
3,12,w,w,w,w,w
4,12,m,p,p,p,w
