site code,site,year,transect,Litoraria sp,Manayunkia aestuarina ,Polychaeta,clam,Uca sp,Carcinus maenas,Geukensia demissa
PI,PI,2014,1,2,,,16,,,2
PI,PI,2014,2,1,,,,,,2
PI,PI,2014,3,4,,,,,,1
PI,PI,2014,4,,,,,,,
PI,PI,2014,5,3,,,,,,
PI,PI,2014,6,1,,,,,,
PI,PI,2014,7,,,,3,1,,
PI,PI,2014,8,,,,,,,
PI,PI,2014,9,,,,,,,
PI,PI,2014,10,,,,,,,
PI,PI,2014,11,,,,,,,
PI,PI,2014,12,,,,,,,
PI15,PI15,2015,1,,,,,,,
PI15,PI15,2015,2,1,,,,,,2
PI15,PI15,2015,3,,,,,,,
PI15,PI15,2015,4,,2,,,,,5
PI15,PI15,2015,5,,1,,,,,
PI15,PI15,2015,6,,,,,,,
PI15,PI15,2015,7,2,,,,,,
PI15,PI15,2015,8,,1,,,,,
PI15,PI15,2015,9,1,,,,,,
PI15,PI15,2015,10,1,,,,,,
PI15,PI15,2015,11,,2,,,,,
PI15,PI15,2015,12,,1,,,,,
SQ,SQ,2015,1,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,2,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,3,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,4,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,5,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,6,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,7,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,8,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,9,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,10,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,11,NA,NA,NA,NA,NA,NA,NA
SQ,SQ,2015,12,NA,NA,NA,NA,NA,NA,NA
W,W,2015,1,,,1,,,,2
W,W,2015,2,,,,,,,
W,W,2015,3,,,1,,,,
W,W,2015,4,,,3,,,,
W,W,2015,5,,,,,,,
W,W,2015,6,,,2,,,,
W,W,2015,7,,,,,,,
W,W,2015,8,,,,,,,
W,W,2015,9,,,1,,,,
W,W,2015,10,,,,,,,
W,W,2015,11,,,1,,,,1
W,W,2015,12,,,,,,1,
N,N,2014,1,,,,3,,,1
N,N,2014,2,,,1,,,,
N,N,2014,3,,,,,,,
N,N,2014,4,,,,2,1,,
N,N,2014,5,,,,,,,
N,N,2014,6,1,,,3,,,
N,N,2014,7,,,2,,,,
N,N,2014,8,,,,6,1,,1
N,N,2014,9,,,,,,,
N,N,2014,10,1,,1,2,,,
N,N,2014,11,,,,1,,,
N,N,2014,12,,,,2,,,
EP,EP,2015,1,1,1,,,,,
EP,EP,2015,2,,,,,1,,
EP,EP,2015,3,,,,,,,
EP,EP,2015,4,,1,,,,,
EP,EP,2015,5,1,,,,1,,
EP,EP,2015,6,,,,,,,
EP,EP,2015,7,,,,,,,
EP,EP,2015,8,1,,,,,,
EP,EP,2015,9,,1,,,1,,
EP,EP,2015,10,,,,,,,
EP,EP,2015,11,2,,,,,,
EP,EP,2015,12,,2,,,,,
M,M,2015,1,,1,,,,,
M,M,2015,2,,1,,1,,,
M,M,2015,3,,,,,,,1
M,M,2015,4,,,,,,,
M,M,2015,5,,,,1,,,
M,M,2015,6,,,,,,,
M,M,2015,7,,1,,2,,,
M,M,2015,8,,2,,,,,
M,M,2015,9,,,,,,,
M,M,2015,10,,,,,,,
M,M,2015,11,,2,,5,,,
M,M,2015,12,,,,,,,
GC,GC,2014,1,0,0,0,0,0,0,0
GC,GC,2014,2,0,0,0,0,0,0,0
GC,GC,2014,3,0,0,0,0,0,0,0
GC,GC,2014,4,0,0,0,0,0,0,0
GC,GC,2014,5,0,0,0,0,0,0,0
GC,GC,2014,6,0,0,0,0,0,0,0
GC,GC,2014,7,0,0,0,0,0,0,0
GC,GC,2014,8,0,0,0,0,0,0,0
GC,GC,2014,9,0,0,0,0,0,0,0
GC,GC,2014,10,0,0,0,0,0,0,0
GC,GC,2014,11,0,0,0,0,0,0,0
GC,GC,2014,12,0,0,0,0,0,0,0
RI,RI,2014,1,0,0,0,0,0,0,0
RI,RI,2014,2,0,0,0,0,0,0,0
RI,RI,2014,3,0,0,0,0,0,0,0
RI,RI,2014,4,0,0,0,0,0,0,0
RI,RI,2014,5,0,0,0,0,0,0,0
RI,RI,2014,6,0,0,0,0,0,0,0
RI,RI,2014,7,0,0,0,0,0,0,0
RI,RI,2014,8,0,0,0,0,0,0,0
RI,RI,2014,9,0,0,0,0,0,0,0
RI,RI,2014,10,0,0,0,0,0,0,0
RI,RI,2014,11,0,0,0,0,0,0,0
RI,RI,2014,12,0,0,0,0,0,0,0
