Trans,Day of Sampling,FUHE,UPX,PUGIO,FUMA,CAMA
12,1,1,,,,
11,1,0,,,,
10,1,0,,,,
9,1,,2,,,
8,1,,3,,,
7,1,,2,,,
6,1,,1,,,
5,1,1,3,,,
4,1,,8,,,
3,1,0,,,,
2,1,,1,,,
1,1,0,,,,
1,2,,1,,,
2,2,1,,,,
3,2,0,,,,
4,2,,1,,,
5,2,,1,,,
6,2,,6,,,
7,2,0,,,,
8,2,,6,,,
9,2,,5,,,
10,2,0,,,,
11,2,0,,,,
12,2,2,,,,
12,3,,,,,0
11,3,,,,,0
10,3,,,,,0
9,3,,,,,0
8,3,,,,,4
7,3,,,,,1
6,3,,,,,1
5,3,,,,,5
4,3,,,,,0
3,3,,,,,8
2,3,,,,,1
1,3,,,,,2
12,4,,,,,0
11,4,,,,,0
10,4,1,,,,0
9,4,,,,,0
8,4,,,,,4
7,4,,,,,1
6,4,,,,,1
5,4,,,,,3
4,4,,,,,4
3,4,,,,,0
2,4,,,,,1
1,4,,,,,2
10,5,1,,,,
9,5,,,,,2
8,5,4,,,,5
7,5,,,,,1
1,5,0,,,,
2,5,0,,,,
3,5,0,,,,
12,5,,1,,,
4,5,,,,,4
5,5,,,,,4
6,5,,0,,,0
