Transect,Day of Sampling,AMPH,CAMA,FUHE,Flounder
12,2,-,1,,
11,2,-,,,
10,2,-,,,
9,2,-,,,
1,2,-,,,
2,2,-,2,,
1,3,-,1,,
2,3,-,2,,
5,3,-,1,2,
6,3,,,,
7,3,-,,,
8,3,-,,,
3,3,-,5,,
4,3,-,3,,
4,4,4,,,
2,1,-,,,
3,1,-,2,,
5,1,-,1,,1
9,1,-,2,,
11,1,,,,
9,4,-,,,
12,1,0,,,
5,2,,,,
6,2,,,,
7,2,0,0,,
8,2,,1,,
7,4,,0,,
8,4,,,1,
10,4,,0,,
11,4,,0,,
12,4,,0,,
4,1,,0,,
6,1,,MISSING,,
7,1,,0,,
8,1,,0,,
10,1,,,,
9,3,0,,,
10,3,0,,,
11,3,0,,,
12,3,0,3,,
3,2,0,4,,
4,2,,4,1,
1,4,0,,,
2,4,,4,,
3,4,,2,,
5,4,,2,,
6,4,0,,,
