Transect,Day of Sampling,FUHE,UPX,CAMA,PUGIO,FUMA,AROS,CYVA,UPU
12,1,47,6,,,,,,
11,1,26,9,,,,,,
10,1,40,9,,,,,,
9,1,,,1,,,,,
8,1,54,,,1,,,,
7,1,24,,,,,,,
6,1,39,,2,,,,,
5,1,22,,,,,,,
4,1,42,,,1,5,,,
3,1,15,,,,,,,
2,1,23,,,,1,,,
1,1,29,,,,2,,,
1,2,84,1,,,5,,,
2,2,28,,,,,,,
3,2,2,,,,`,,,
4,2,42,,,,27,,,
5,2,12,,,,1,,,
6,2,49,,,,1,,,
7,2,27,,,,,,,
8,2,21,,,,,,,
9,2,2,,1,11,,,,
10,2,5,,,,,,,
11,2,19,,,,2,,,
12,2,8,,,,,,,
12,3,14,,,1,,,,
11,3,15,,,,,,11,
10,3,12,,,,9,1,,
9,3,0,,,,,,,
8,3,30,,,2,,,,
7,3,45,,,,,,,
6,3,86,,,,,,,
5,3,39,,,,,,,
4,3,44,,,,,1,,
3,3,13,,,,,,,
2,3,9,,,,,,,
1,3,39,,,1,,,,1
10,4,32,,,,4,,,
9,4,,,,,,1,,
8,4,64,,,,,1,,
7,4,24,,,,,,,
1,4,48,,,,,,,
2,4,28,,,,,,,
3,4,20,,,,,,,
12,4,38,,,1,2,2,,
4,4,31,,,,1,,,
5,4,63,,,,,,,
6,4,46,,1,3,7,,,
