Transect,Day of Sampling,FUHE,PUGIO,AROS,POLY,FLOUNDER,CAMA
3,4,7,0,0,0,0,0
4,4,46,1,0,0,0,0
2,4,11,0,0,0,0,0
1,4,8,0,0,0,0,0
5,4,50,0,0,0,0,0
6,4,34,0,0,0,0,0
7,4,76,0,0,0,0,0
8,4,60,0,0,0,0,0
1,1,2,0,0,0,0,0
2,1,0,0,0,0,0,0
3,1,0,0,0,0,0,0
4,1,35,0,0,0,0,0
5,1,8,0,0,0,0,0
6,1,7,0,0,0,0,0
7,1,1,0,0,0,0,0
8,1,31,0,0,0,0,0
1,2,1,1,0,0,0,0
2,2,15,0,0,0,0,0
3,2,7,0,0,0,0,0
4,2,43,0,0,0,0,0
5,2,48,1,0,0,0,0
6,2,34,0,1,0,0,0
12,2,32,0,0,1,0,0
11,2,79,0,0,0,0,0
10,2,12,0,0,0,0,0
9,2,34,0,0,0,0,0
8,2,53,0,0,0,0,0
7,2,87,0,0,0,0,0
6,2,37,0,2,0,0,0
5,2,88,0,0,0,0,0
4,2,45,0,0,0,0,0
3,2,3,0,0,0,0,0
11,1,0,0,0,0,0,0
10,1,0,0,0,0,0,0
9,1,0,0,0,0,0,0
7,2,31,0,0,0,0,0
8,2,2,0,0,0,1,0
12,3,21,0,0,0,0,0
11,3,16,0,0,0,0,0
10,3,64,0,0,0,0,0
9,3,97,0,0,0,0,0
2,3,26,0,0,0,0,0
1,3,39,0,0,0,0,1
12,4,32,0,0,0,0,0
11,4,19,0,0,0,0,1
10,4,0,0,0,0,0,0
9,4,0,0,0,0,0,0
12,1,31,0,0,0,0,0
