Transect,Day of Sampling,CAMA,FUHE,PUGIO,PAHE,FUMA,FUCO,AROS
5,1,1,2,,,,,
6,1,0,1,1,,,,
1,1,,12,,,,,
2,1,1,11,,1,,,
12,1,3,,,,6,1,
11,1,,,,,37,7,
8,1,2,,1,,18,3,
7,1,,,,,,,
3,1,2,,9,,3,,1
4,1,,,,,1,1,
1,2,1,,3,,,,
2,2,,28,,,,,
3,2,,12,,,,,
4,2,,1,15,,,,
8,2,,4,,,,,
5,2,1,,,,7,,
6,2,,,1,,9,9,
5,3,,,1,1,,,
6,3,,1,1,1,,,
7,3,,,,,,,
8,3,,13,,,,,
1,3,,,7,,,,
2,3,1,,1,,19,3,
3,3,1,,6,,,,1
4,3,,,7,,1,,
5,4,,,,2,,,
6,4,,4,7,,,,
7,4,,,,,,,
8,4,,12,,,,,
12,4,2,,,,19,,
11,4,1,,,,53,9,
10,4,,,,,22,5,1
9,4,1,,,,12,3,
