Date started,Date finished,Recorder (initials),sample code,site,Transect,Quadrat,Square #,Species,Count,notes,,,
,,,,,,,,,,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,D6,Prokelisia sp,3,all good,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A1,Chaetopsis sp.,3,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A1,Cecidomyidae,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,D6,Trombid mite,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C4,Littorina littorea,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A2,UKN mosquito ,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A2,Dohrniphora sp,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A2,Sminthuridae,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C1,Littorina littorea,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C1,Prokelisia sp,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C1,UKN mosquito ,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,B1,Littorina littorea,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,D5,Sminthuridae,3,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,D5,Orobatid mite,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,D5,UKN mosquito ,3,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,D5,Prokelisia sp,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,D5,Acrodactyla sp,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F5,Sminthuridae,3,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F5,UKN mosquito ,3,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,F5,Acrodactyla sp,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C6,Dohrniphora sp,3,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C6,Acrodactyla sp,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C6,UKN mosquito ,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C6,pyrrhocoridae sp,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A5,UKN mosquito ,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A5,Dohrniphora sp,3,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C5,NA,0,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A6,Prokelisia sp,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A6,Orobatid mite,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A6,Dohrniphora sp,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,B5,Acrodactyla sp,1,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,B5,callitula sp,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,B5,Prokelisia sp,3,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,B5,UKN mosquito ,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,B6,Dohrniphora sp,7,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,B6,UKN mosquito ,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A1,Prokelisia sp,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,A1,Littorina littorea,2,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,C2,NA,0,,,,
2/22/16,2/22/16,SS,EPT5Q1,EP,5,1,D4,NA,0,,,,
