Transect,Quadrat,Day of Sampling,UPX,UPU,CAMA,FUHE,FUMA,AROS,PUGIO,SES,AMPH
12,1,4,0,,,,,,,,
4,1,4,0,,,,,,,,
5,1,4,,,,,,,,1,
6,1,4,1,,,,,,,,
12,1,4,5,,,,,,,,
4,1,4,0,,,,,,,,
5,1,4,,,,,,,,1,
6,1,4,1,,,,,,,1,
7,1,3,0,0,,,,,,,
8,1,3,,1,,,,,,,
9,1,3,0,,,,,,,,
9,1,3,3,,,,,,,,
10,1,3,0,,,,,,,,
11,1,3,0,,,,,,,,
11,1,3,0,,,,,,,,
12,1,3,2,,,,,,,,
1,1,3,2,,,,,,,,
2,1,3,0,0,,,,,,,
3,1,3,0,,,,,,,,
4,1,3,1,,,,,,,,
5,1,3,,,,1,,,,,
6,1,3,0,,,,,,,,
5,1,2,0,0,,,,,,,
6,1,2,0,0,,,,,,,
7,1,2,0,0,,,,,,,
8,1,2,0,0,,,,,,,
9,1,2,0,0,,,,,,,
12,1,2,3,,,,,,,,
11,1,2,2,,,,,,,,
10,1,2,1,,,,,,,,
1,1,2,3,,,,,,,,
2,1,2,2,,,,,,,,
3,1,2,3,,,,,,,,
4,1,2,13,,,,,,,,
12,1,1,6,,,,,,,,
11,1,1,0,,,,,,,,
10,1,1,7,,,,,,,2,
9,1,1,0,,,,,,,,
8,1,1,0,,,,,,,,
7,1,1,,,,,,,,,
6,1,1,1,,,,,,,2,
5,1,1,0,,,,,,,3,
4,1,1,1,,,,,,,,
3,1,1,1,,,,,,,,
2,1,1,2,,,,,,,,
1,1,1,,,,,,,,1,
10,1,4,,,,,,,,,
9,1,4,,,,,,,,,
8,1,4,,,,,,,,,
7,1,4,,,,,,,,,
12,1,4,5,,,,,,,,
4,1,4,0,,,,,,,,
5,1,4,,,,,,,,1,
6,1,4,1,,,,,,,,
11,1,4,,,,,,,,,
1,1,4,,,,,,,,,
2,1,4,,,,,,,,,
3,1,4,,,,,,,,,
12,2,4,0,,,,,,,,
4,2,4,2,,,,,,,,
5,2,4,1,,,,,,4,,
6,2,4,7,,,,,,,,
12,2,4,0,,,,,,,,
4,2,4,2,,,,,,,,
5,2,4,1,,,,,,4,,
6,2,4,7,,,,,,,,
7,2,3,2,,,,,,,,
8,2,3,1,,,,,,,,
9,2,3,4,,,,,,,,
10,2,3,0,,,,,,,,
11,2,3,10,,,,,,,,
12,2,3,4,,,,,,,,
1,2,3,6,1,,,,,,,
2,2,3,8,,,,,,,,
3,2,3,6,,,,,,,,
4,2,3,3,,,,,,,,
5,2,3,5,,,,,,,,
6,2,3,6,,22,,,,,,
5,2,2,17,0,,,,,,,
6,2,2,2,0,,,,,,,
7,2,2,2,0,,,,,,,
8,2,2,4,0,,,,,,,
9,2,2,6,0,,,,,,,
12,2,2,5,,,,,,,,2
11,2,2,0,,,,,,,,0
10,2,2,9,,,,,,,,
1,2,2,7,,,,,,,,
2,2,2,,,,,,,,,2
3,2,2,,,1,,,,,,
4,2,2,,,,,,,,,
12,2,1,3,,,,,,,,
11,2,1,5,,,,,,,,
10,2,1,5,,,,,,,,
9,2,1,4,,,,,,,,
8,2,1,8,,,,,,,1,
7,2,1,12,,,,,,,,
6,2,1,0,,,,,,,,
5,2,1,18,,,,,,,,
4,2,1,11,,,,,,,,
3,2,1,3,,,,,,,,
2,2,1,6,,,,,,,,
1,2,1,4,,,,,,,,
10,2,4,,,,,,,,,
9,2,4,,,,,,,,,
8,2,4,,,,,,,,,
7,2,4,,,,,,,,,
12,2,4,0,,,,,,,,
4,2,4,2,,,,,,,,
5,2,4,1,,,,,,4,,
6,2,4,7,,,,,,,,
11,2,4,,,,,,,,,
1,2,4,,,,,,,,,1
2,2,4,,,,,,,,,1
3,2,4,,,,,,,,,
12,3,4,1,,,,,,,,
4,3,4,0,,,,,,,,
5,3,4,3,1,,1,,,,,
6,3,4,2,,,,,,,,
12,3,4,0,,,,,,,,
4,3,4,0,,,,,,,,
5,3,4,3,1,,,,,,,
6,3,4,2,,,,,,,,
8,3,3,1,,,,,,,,
9,3,3,0,,,,,,,,
10,3,3,2,,,,,,,,
11,3,3,8,,,,,,,,
12,3,3,0,,,,,,,,
1,3,3,3,,,,,,,,
2,3,3,0,0,,,,,,,
3,3,3,3,,,,,,,,
4,3,3,1,,,,,,,,
5,3,3,16,1,21,,,,,,
6,3,3,2,2,,,,,,,
7,3,3,0,,,,,,,,
4,3,2,6,0,,,,,,,
5,3,2,16,1,,,,,,,
6,3,2,15,1,,,,,,,
7,3,2,13,2,,,,,,,
8,3,2,1,0,,,,,,,
9,3,2,8,0,,,,,,,
12,3,2,1,,,,,,,,13
11,3,2,7,,,,,,,,
10,3,2,5,,,,,,,,
1,3,2,7,1,,,,,,,
2,3,2,18,3,,,,,,,
3,3,2,4,,,,,,,,
12,3,1,8,,,,,,,,
11,3,1,0,,,,,,,,
10,3,1,14,2,,,,,,,
9,3,1,0,,,,,,,,
8,3,1,0,,,,,,,,
7,3,1,4,2,,,,,,,
6,3,1,11,1,,,,,,,
5,3,1,25,2,,,,,,,
4,3,1,2,,,,,,,,
3,3,1,8,,,,,,,,
2,3,1,0,,,,,,,,
1,3,1,6,3,,,,,,,
10,3,4,,,,,,,,,
9,3,4,,,,,,,,,
8,3,4,,,,,,,,,
7,3,4,,,,,,,,,
