Transect,Quadrat,Day of Sampling,UPX,UPX,CAMA,CAMA,UPU,UPU,HESA,CASA
1,4,1,0,0,,,,,,
1,3,1,0,11,,,,,,
1,2,1,0,9,,,,,,
1,1,1,0,7,,,,,,
2,4,1,0,4,,,,,,
2,3,1,3,2,,,,,,
2,2,1,11,8,,,,,,
2,1,1,0,2,,,,,,
3,4,1,,,,,1,1,,
3,3,1,,,,,,3,,
3,2,1,,,,,3,10,,
3,1,1,,,,,,,,
4,4,1,,,,,,,,
4,3,1,,,,,2,5,,
4,2,1,,,,,,,,
4,1,1,,,,,,,,
5,4,1,0,1,,,,,,
5,3,1,0,2,,,,,,
5,2,1,4,3,,,,,,
5,1,1,0,,,,,,,
6,4,1,0,3,,,,,,
6,3,1,0,2,,,,,,
6,2,1,0,5,,,,,,
6,1,1,0,0,,,,,,
7,4,1,,,,,,2,,
7,3,1,,,1,,6,9,1,1
7,2,1,,,,,,,,
7,1,1,,,,,,,,
8,4,1,,,,,3,1,,
8,3,1,,,,,1,,,
8,2,1,,,,,1,,,
8,1,1,,,,2,,,,
9,4,1,,,0,8,6,7,,
9,3,1,,,0,0,5,4,,
9,2,1,,,0,4,8,10,,
9,1,1,,,0,5,3,0,,
10,4,1,,,0,0,4,11,,
10,3,1,,,0,4,4,28,,
10,2,1,,,0,0,3,30,,
10,1,1,,,0,0,0,0,,
11,4,1,,,,,,,,
11,3,1,,,1,,5,7,,
11,2,1,,,,,8,16,,
11,1,1,,,1,,,1,,
12,4,1,,,4,6,10,4,2,
12,3,1,,,,,,2,,
12,2,1,,,,,,1,,
12,1,,,,,,,,,
1,4,,0,,,,,,,
1,3,1,2,,,,,,,
1,2,1,1,,,,,,,
1,1,1,2,,1,,,,,
2,4,1,0,,,,,,,
2,3,1,7,2,,,,,,
2,2,1,2,,,,,,,
2,1,,1,,,,,,,
3,4,1,1,,,,,,,
3,3,1,1,1,,,,,,
3,2,1,14,4,,,,,,
3,1,1,0,0,,1,,,,
4,4,1,8,4,,,,,,
4,3,1,3,1,,,,,,
4,2,1,1,0,,,,,,
4,1,1,0,0,,,,,,
5,3,2,,,,,1,,,
5,4,2,,,,,1,,,
5,4,1,0,,,,,,,
5,3,1,8,,,,,,,
5,2,1,9,1,,,,,,
5,1,3,0,,1,,,,,
6,4,2,,2,,,,,,
6,4,1,7,,,,,,,
6,3,2,,3,,,,,,
6,3,1,0,1,,,,,,
6,2,2,2,1,,,,,,
6,2,1,0,,,,,,,
6,1,1,2,,1,,,,,
7,4,2,,,,,,,,
7,3,2,0,,,,,,,
7,2,2,1,,,,,,,
7,1,2,,1,,,,,,
7,4,1,3,2,,,,,,
7,3,1,3,,,,,,,
7,2,,3,,,,,,,
7,1,1,,,,,,,,
8,4,1,5,2,,,,,,
8,3,1,6,,,,,,,
8,2,1,5,,,,,,,
8,1,1,0,,,,,,,
9,4,1,,,0,0,2,9,,
9,3,1,,,0,0,4,0,,
9,2,1,,,0,0,2,16,,
9,1,1,,,0,0,0,0,,
10,4,1,,,0,0,3,4,,
10,3,1,,,0,0,5,8,,
10,2,1,,,0,0,3,13,,
10,1,1,,,0,1,0,0,,
11,4,1,,,0,0,3,12,,
11,3,1,,,0,0,15,5,,
11,2,1,,,0,0,1,9,,
11,1,1,,,0,0,0,2,,
12,4,1,,,0,0,0,16,,
12,3,1,,,0,0,0,1,,
12,2,1,,,0,1,0,6,,
12,1,1,,,0,0,0,0,,
1,4,3,,2,,,,,,
1,3,3,3,1,,,,,,
1,2,3,2,4,,,,,,
1,1,3,3,,,,,,,
2,4,3,0,,,,,,,
2,3,3,1,1,,,,,,
2,2,3,2,7,,,,,,
2,1,3,0,,,,,,,
3,4,3,1,4,,,,,,
3,3,3,0,5,,,,,,
3,2,3,0,11,,,,,,
3,1,3,0,,,,,,,
4,4,3,1,4,,,,,,
4,3,3,1,6,,,,,,
4,2,3,1,10,,,,,,
4,1,3,3,,,,,,,
4,4,3,0,,,,,,,
5,3,3,,,,,,,,
5,2,3,,,,,,,,
5,1,3,,,,,,,,
6,4,3,,,,,,,,
6,3,3,,,,,,,,
6,2,3,,,,,,,,
6,1,,,,,,,,,
7,4,3,,,,,,,,
7,3,3,,,,,,,,
7,2,3,,,,,,,,
7,1,3,,,,,,,,
8,4,3,,,,,,,,
8,3,3,,,,,,,,
8,2,3,,,,,,,,
8,1,3,,,,,,,,
9,4,3,,,,0,1,6,,
9,3,3,,,,0,0,3,,
9,2,3,,,,0,3,7,,
9,1,3,,,,0,0,0,,
10,4,3,,,,0,0,11,,
10,3,3,,,,0,1,18,,
10,2,3,,,,0,4,14,,
10,1,3,,,,0,0,0,,
11,4,3,,,,0,5,7,,
11,3,3,,,,0,0,0,,
11,2,3,,,,0,0,14,,
11,1,3,,,,1,1,0,,
12,4,3,,,,,3,1,,
12,3,3,,,,,0,0,,
12,2,3,,,,,0,1,,
12,1,3,,,,,0,0,,
5,4,1,0,,,,,,,
5,3,1,6,3,,,,,,
5,2,1,11,4,,,,,,
5,1,1,0,,,,,,,
6,4,1,1,,,,,,,
6,3,1,4,,,,,,,
6,2,1,4,,,,,,,
6,1,1,,1,,,,,,
7,4,1,5,4,,,,,,
7,3,1,0,,,,,,,
7,2,1,5,,,,,,,
7,1,1,0,,,,,,,
8,4,1,,,,,,,,
8,3,1,6,,,,,,,
8,2,1,3,,,,,,,
8,1,1,0,,,,,,,
9,4,4,2,,2,,,,,
9,3,4,2,,,,,,,
9,2,4,,,,,,,,
9,1,4,,,,,,,,
10,4,4,,,,,,,,
10,3,4,,12,,2,,,,
10,2,4,1,4,,1,,,,
10,1,4,0,,,,,,,
11,4,4,,4,,,,,,
11,3,4,,9,,,,,,
11,2,4,2,6,,,,,,
11,1,4,,,,,,,,
12,4,4,2,9,,,,,,
12,3,4,0,,,,,,,
12,2,4,,2,,,,,,
12,1,4,0,,,,,,,
