site code,site,year,transect,AMPH,UPX,PARD,MEBI,BLANT,VENZ,GRYL,HYDRO,NOFL,COLEO,CHLOR,HOG,WASP,LAS,GEFLY,CYPHON,SES,LIT,DOLI
PI,PI,2014,1,77,,,,49,,,,,,,,,,,,,,
PI,PI,2014,2,63,,,,26,,,,,,,,,,,,,,
PI,PI,2014,3,17,,,,,6,,,,,,,,,,,,,
PI,PI,2014,4,49,,,,,,3,,,6,,,,,,,,,
PI,PI,2014,5,12,,,,,,,,,2,,,,,,,,,
PI,PI,2014,6,68,,,,17,,,14,,,,,,,,,,,
PI,PI,2014,7,71,,,,,,,,,,,,,,,,,,
PI,PI,2014,8,127,,,,,,,,,,,,,,,,,,
PI,PI,2014,9,70,,,,,,4,12,,,,,,,,,,,
PI,PI,2014,10,4,,,,,,,13,,4,,,,,,,,,
PI,PI,2014,11,36,,,,,,3,61,,,,,,,,,,,
PI,PI,2014,12,61,,,,,,3,3,,,,,,,,,,,
PI15,PI15,2015,1,87,,,,,3,,,12,,,,,,,,,,
PI15,PI15,2015,2,31,,1,,,,4,,,,,,,,,,,,
PI15,PI15,2015,3,24,,,,,,,,,,,,,,,,,,
PI15,PI15,2015,4,176,,,,,,,,,,,,,,,,,,
PI15,PI15,2015,5,48,,,,,,,,,,,,,,,,,,
PI15,PI15,2015,6,2,,,,,,,,,,,,,,,,,,
PI15,PI15,2015,7,10,,,,,,,,,,,,,,,,,,
PI15,PI15,2015,8,12,,,,,,,,,,,,,,,,,,
PI15,PI15,2015,9,78,,,21,,,,,,,,,,,,,,,
PI15,PI15,2015,10,,,,,,,,,,,,,,,,,,,
PI15,PI15,2015,11,49,,,,,,,,,,,,,,,,,,
PI15,PI15,2015,12,16,,,,,,,,,,,,,,,,,,
SQ,SQ,2015,1,,,,,,,,,,,,,,,,,,,
SQ,SQ,2015,2,,,,,,,,,,,,,,,,,,,
SQ,SQ,2015,3,,,,,,,,,,,,,,,,,,,
SQ,SQ,2015,4,,,,,,,,,,,,,,,,,,,
SQ,SQ,2015,5,,,,,,,,,,,,,,,,,,,
SQ,SQ,2015,6,91,,,,18,,,,,,,,,,,,,,
SQ,SQ,2015,7,76,,,,41,,,,,,,,,,,,,,
SQ,SQ,2015,8,99,,,,7,,,,,,,,,,,,,,
SQ,SQ,2015,9,61,,,4,,,,,,,,,,,,,,,
SQ,SQ,2015,10,41,,3,,,,,,,,,2,,,,,,,
SQ,SQ,2015,11,12,,4,,,,,,,,,,,,,,,,
