Trans,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1
Quad,1,2,3,4,5,5,4,3,2,1,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5
Burrows,7,0,0,0,0,1,0,0,0,5,0,1,0,2,3,18,4,0,3,0,4,6,0,0,1,6,0,0,4,0,22,7,0,0,0,17,1,0,0,12,13,0,9,7,4,1,6,1,2,4,2,6,0,2,7,11,0,0,0,0
Littorina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,14,0,3,6,0,0,0,0,3,3,0,0,3,7,5,0,0,0,15,1,21,4,0,0,15,38,0,0,8,0,0,0,0,0,0,18,0,5,4,10,4,0
Mussels,0,0,0,0,0,0,0,0,3,0,0,0,2,0,4,4,1,1,2,0,0,0,0,0,0,4,1,1,0,0,2,7,0,0,0,0,2,1,0,11,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6,0,0,0,0
Melampus 1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,0,0,0,0,0,1,3,1,0,0,0,14,6,0,0,0,1,0,0
Melampus 2,1,0,1,0,0,1,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,2,1,1,4,0,0,0,0,0,0,0,0,3,5,0
Melampus 3,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,5,1,3,1,0,0,0,0,3,0,0,2,5,0,0
Melampus 4,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0
SPA,85,80,40,45,,44,52,70,86,6.5,1,82,55,65,10,24,106,91,52,14,39,62,26,94,12,43,98,100,81,0.7,42,86,100,100,5,28,45,61,44,56,80,66,43,47,,10,,,2,55,100,77,0,33,4,85,55,27,85,0
SPP,,,30,50,0,35,7,,,,55,,,,,0,19,0,48,69,0,0,0,0,100,0,0,0,37,100,,,,12,100,,100,,100,,,,17,28,100,77,80,70,60,11,,60,100,48,100,25,12,100,92,100
Sarc,3,,,,,,3,5,2,,,2,1,2,,,3,1.8,1.4,0,,0.6,7,,0,0.3,,0.2,0,3,,,,1,,86,,4,,,,,,,,,,,,,70,4,,95,,30,100,33,16,
DISP,,,,,,,,,,,,,,,,,,,,,,,0,,100,,,,,,,,,12,100,,,,,,,,,,,,,,,,,,,,,,,,,
SUE,,,,,,14,,,,,,,,,,,0.1,0,0,0,,,,,,,,,,2,,,,,6,,,,,,,,,,10,4,,3,2,,,1,4,1,2,,,,,
LI,,,,,,,,,,,,,,,,,,,,,,0,0.1,,0,,,,,,,,,,,17,,,,,,,,,6,,,,6,,,,1,6,,,,,,
SARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,2,1,,1,,2,,,,,,,,,,
IVFR,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUGE,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Bare,60,2,4,0,0,10,18,25,23,41,40,12,0,58,10,76,0,9,0,31,61,38,74,6,0,57,2,0,18,0,58,14,5,2,11,14,3,39,9,44,14,0,33,30,13,20,12,14,25,39,0,12,0,0,0,15,4,0,8,0
% Detritus,3,60,65,60,90,30,60,30,35,5,20,35,90,15,0,0,85,0,64,69,16,12,0,94,100,19,100,100,70,100,0,0,95,98,89,0,97,0,91,0,40,2,22,40,6,0,22,20,18,5,6,85,100,0,100,15,28,100,88,0
% Wrack,3,0,0,0,0,0,0,0,0,15,0,0,0,0,85,61,0,0,0,0,34,0,0,0,0,34,0,0,0,0,89,0,0,0,0,0,0,0,0,20,15,0,0,0,0,18,0,0,0,3,7,0,0,0,0,0,0,0,0,0
