Transect,10,10,10,10,10,8,8,8,8,8,12,12,12,12,12,7,7,6,6,1,4,4,4,4,4,5,5,5,5,5,11,11,11,11,11,9,9,9,9,9,7,7,7,6,6
Quad,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,1,2,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,3,5,4
Burrows,8,0,0,0,0,11,0,0,,,9,-,-,-,-,6,-,,,,2,0,0,0,0,4,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,-,-
Littorina,0,0,0,0,0,0,0,0,,,-,-,-,-,-,4,-,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Mussels,0,0,0,0,0,0,0,0,,,-,-,-,-,-,-,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
Melampus 1,0,0,3,16,34,0,0,0,,,0,0,4,14,8,-,-,-,-,7,0,1,0,2,12,0,0,0,0,11,0,0,7,0,0,0,0,0,3,17,4,0,0,18,2
Melampus 2,0,0,1,19,10,0,0,0,,,0,0,-,9,16,-,-,-,-,14,0,0,0,2,3,0,0,0,0,18,0,0,10,0,0,0,1,0,3,16,6,0,0,27,8
Melampus 3,0,0,1,14,12,1,1,0,,,0,0,2,2,17,-,-,-,-,11,0,1,0,1,8,0,0,0,0,8,0,0,7,0,0,0,0,0,3,8,7,0,0,19,-
Melampus 4,0,0,4,18,0,0,0,0,,,0,0,-,19,29,-,-,-,-,16,0,0,0,4,8,0,0,0,0,5,0,0,12,0,0,0,0,0,0,19,6,0,0,21,4
SPA,100,4,,,,85,96,95,,,94,2.6,67,,,100,48,78,100,1.7,95,96,,,,9.5,0,0,79,,93,1.3,0,0,0,76,0,0,0,0,0,84,0.6,-,-
SPP,,95,100,90,95,,,,100,100,,97,45,78,,,18,,,,,,93,87,,,80,68,,100,0,100,100,100,100,0,81,100,100,100,100,0,44,100,85
SARC,,,6,2,,,,6,,,0.2,,0.6,0.2,1.4,,13,18,,,,,,2,,5,20,20,18,,0,0,0,0.3,0,0,0,0.1,0,0,0,6.4,10,-,0.4
JUGE,,,,2,,,,,,1,,,,,100,,,,,,,,,,8,,,,,,0,0,0,0,0,0,0,0,0,56,0,0,0,-,-
ASNO,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
FUVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
IVFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-
LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.2
% Bare,0,4,0,,,10,,,,,6,3,18,22,,,51,,,,5,3,,,,10,12,27,10,0,7,0,0,0,0,24,19,0,61,11,0,16,45,-,15
% Detritus,42,23,10,75,90,52,100,28,10,80,12,8,39,-,65,26,9,68,40,50,30,16,100,85,100,45,12,18,14,65,19,10,63,78,98,31,2,0,0,0,60,0,0,30,18
% Wrack,,,,,,,,,,5,5,,,NA,NA,-,,1,,-,,4,2,N/A,N/A,,N/A,N/A,,N/A,0,0,0,0,14,0,0,0,0,0,0,0,0,-,-
