Trans,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12
Quad,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5
Burrows,25,0,2,0,0,17,0,1,0,0,21,0,0,0,0,39,3,0,0,0,0,0,0,0,18,23,37,18,2,2,0,4,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,18,0,0,0,3,20,0,0,0
Littorina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0
Mussels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,3,3,0,26,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0
Melampus 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,4,0,1,5,1,0,1,1,0,1,0,0,0,2,0,3,10,0,0,0,2,15,1,2,0,0,13,1,0,0,0,0,15,1,1
Melampus 2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,``,3,1,0,3,0,2,0,5,0,2,1,0,0,2,0,1,3,0,1,0,0,0,1,0,6,3,0,2,0,0,3,1,1,0,0,3,1,3,0,0,0,25,3,4
Melampus 3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,1,0,0,1,3,0,1,1,1,2,1,0,1,7,0,1,0,0,0,1,0,3,0,0,0,0,1,2,3,3,0,0,8,6,4,0,0,0,13,0,2
Melampus 4,7,5,7,0,0,7,0,0,0,,0,0,0,0,0,0,1,0,0,4,0,0,2,0,2,0,1,0,0,0,0,3,5,0,2,0,0,1,3,0,0,7,0,1,0,0,9,2,4,0,0,0,8,0,0,0,0,9,0,2
SPA,44,85,40,8,1,0,60,12,0,0,0,0,0,0,0,19,6,1,3,0,0,0,0,0,28,39,60,80,100,7,60,60,100,12,0,45,100,100,100,0,54,100,100,69,30,32,27,62,85,57,55,96,100,40,0,31,75,60,76,80
SPP,55,0,40,8,0,65,0.5,,0,,60,100,0,0,0,65,,,,0,0,0,0,0,45,100,,,,,,40,2,,100,0,0,0,0,100,100,14,0,0,,,40,2,,,,0,0,0,0,,0,55,6,0
LI,2,0,0,0,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.75,,,,,,,,1,0,0,2,,,,,,,,,,,,,,2,,
SYMTEM,1,0,1,0,0,,,,,,0,0.5,0,0,0,,,,,,,,,,,,,,,,,,0.1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
DISP,1,0,0,0,0,,,,,,,,,,,,,,,,,,65,80,,,,,,,,,,,8,,,,,100,,16,0,0,,,,,,,,0,1,0,0,,,,9,1
SARC,0,0.2,0.3,0,0,,,,,,0,0,0,20,0,5,11,80,62,60,60,70,0,0,,,,,,,,,,,,0,0,0,0.2,0,0,0.3,0,1,,,1,2,1,,,,,,,,1,1,,0
IVFR,,,,,,22,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,35,,,,,5,,,,,,,,,,,,,,,,,,,,
PHRAG,0,0,1,1,0,10,,,,,4,7,80,0,0,,2,2,,,70,5,0,0,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SARC,,,,,,,,7,8,0.75,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYO,0,0,0,0,5,,,,,30,0,0,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,5
PLUDO,,,,,,,,,,4,0,0.5,1,30,97,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,5,,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,
SCHARU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
ELEOCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,100,,,,,
CAREX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,1,,,,,
AGAMAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
ASNO,,,,,,,42,98,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,25,,,,
SUE,,,,,,,,,,,,,,,,25,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Bare,80,0,37,95,2,60,1,0,0,70,75,100,25,5,50,65,45,49,70,2,5,10,15,1,45,95,100,75,80,3,98,85,100,90,2,10,5,10,70,10,85,0,0,31,90,0,2,5,10,20,88,4,0,60,0,92,38,2,6,0
% Detritus,30,19,65,7,100,35,61,2,25,40,65,100,80,100,50,30,0,20,5,70,30,50,25,40,52,25,15,30,45,100,2,60,3,5,100,5,100,100,95,100,0,40,27,0,5,90,91,65,44,3,8,85,100,100,100,6,0,15,100,100
% Wrack,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,5,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPA Density1,15,25,21,0,5,0,41,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,5,8,19,73,114,0,21,62,96,11,0,13,84,130,85,0,24,46,48,126,15,34,22,67,35,26,10,45,63,28,0,8,91,42,29,45
SPA Density2,13,29,19,0,2,0,66,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,15,88,99,0,38,49,88,19,0,7,92,86,97,0,36,56,57,114,14,20,24,45,42,41,7,58,56,17,0,17,105,48,33,36
