Transect,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12
Quad,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
Burrows,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Littorina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mussels,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Melampus 1,0,8,3,0,4,0,11,1,0,4,0,2,7,1,4,0,6,0,4,0,0,4,6,12,1,0,8,20,4,22,0,1,7,0,2,0,4,4,0,13,4,8,6,4,2,0,9,5,11,4,0,11,9,3,0,0,17,8,2,2
Melampus 2,0,0,2,4,4,0,7,0,0,6,0,1,6,2,3,0,4,3,0,1,0,6,5,5,0,0,14,10,2,9,0,0,8,13,4,0,4,6,0,4,3,12,6,6,8,1,11,5,8,4,0,7,5,5,0,0,9,10,7,4
Melampus 3,0,3,0,1,7,0,6,0,0,7,0,8,8,3,3,0,9,4,6,0,0,4,9,10,1,0,613,2,13,7,0,0,2,17,2,0,0,6,7,6,4,6,10,3,,0,3,13,3,3,0,12,22,3,3,0,9,6,6,3
Melampus 4,0,4,3,0,6,0,14,0,0,2,0,11,4,2,4,0,3,0,0,0,0,3,3,6,0,0,,33,9,12,0,2,6,2,9,0,3,3,8,11,6,10,4,7,4,0,5,7,11,3,0,15,0,4,1,0,19,9,4,6
SPA,86,0,31,14,100,100,0.6,88,89,4.5,1,,3,95,38,98,15,100,3.5,1.2,0.4,100,89,12,0,54,,0,17,,64,95,100,48,,73,76,90,69,3,0.1,100,82,21,17,97,2,85,85,2,100,29,52,85,,92,4,,28,
SPP,,100,100,100,0,,100,1,3,100,100,90,82,,45,0,100,0,100,100,60,0,100,95,90,0,18,35,35,56,0,100,25,22,32,0,100,76,,20,100,0,18,64,100,0,82,,,96,,27,,,8,,24,26,8,3
SARC,,,,,,,0,2.4,2.5,0,,,,1,,,0,0.4,0,0,,,,0.5,0,,,0.3,,,,0,0,,,,0,,,,,,,,,,,,,0.5,,,1,,,,1,,1,
ATPA,,,,,,,,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0.2,,,,,,,,,,9,,,,,
DISP,,,,,,,,,,,,8,6,,,,,,,,,,,,,,25,60,55,42,,,,1,9,,,,,,,,,,,0,17,,,36,,20,8,,30,,90,78,3,1
JUGE,,,,,,,,,,,,6,2,,,,,,,,,,,,,,48,0,2.5,2,,,,,,,,,,4,,,,,,0,0.5,,,5,,31,7,,,,6,,12,
LI,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,2,,,,,29,,,,,,,,,,,,,,,6,,,,,
UPSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP3,,,,,,,,,,0,0,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
SP4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
SP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Bare,24,0,0,0,11,0,0,12,11,0,0,0,2,0,18,2,0,0,,,40,0,0,7,10,46,4,33,23,0,36,3,0,52,0,27,0,8,25,0,0,0,0,36,0,28,9,17,27,17,25,9,48,15,42,8,0,0,2,3
% Detritus,0,35,90,85,15,0,10,0,0,40,0,65,62,0,21,0,70,95,4,35,0,80,60,15,0,0,26,29,13,28,0,15,10,30,67,0,0,19,10,63,0,0,0,24,46,17,13,13,17,30,11,12,0,10,56,6,4,17,26,15
% Wrack,0,0,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,72,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPA Density1,20,0,31,14,30,50,2,60,53,22,5,0,9,59,21,30,8,68,0,0,2,47,17,18,0,9,0,0,11,0,10,21,55,67,0,22,17,17,41,42,0,64,67,13,7,12,5,67,37,5,19,22,21,38,0,36,3,0,18,0
SPA Density2,26,0,33,10,41,61,0,58,49,3,4,0,4,60,30,28,9,56,6,4,0,45,16,26,0,15,0,0,13,0,12,28,34,42,0,31,21,27,59,50,0,59,61,16,4,23,0,57,26,0,26,12,35,46,0,22,6,0,7,
SPA Density3,30,0,12,12,25,54,3,64,54,14,6,0,6,61,6,46,7,69,133,6,3,41,8,15,0,11,0,0,11,0,16,41,47,50,0,15,26,14,50,52,0,70,71,11,15,8,5,44,36,1,24,6,29,34,0,29,3,0,11,0
SPA Height1,141,0,21,36,41,93,63,19,20,49,84,0,44,23.5,53,92,56,25,44,1,104,42,55,94,0,182,0,0,51,0,181,31,26,32,0,154,42,54,27,71,65,39,33,61,54,129,44,29.5,41.75,63.5,132,29,17,30,0,160,64,0,49,0
SPA Height2,158,0,31,37,60,114,56,23,19,31,64,0,28,22,56,92,57,26,39,102,71,41,57,54,0,180,0,0,57.75,0,190,31,28,27,0,161,41,56,26,66,NA,30,43,56,60,143,30,29,34,61,146,26,29,34,0,151,66,0,48,0
SPA Height3,130,0,28,35,49,100,45,18,19,40,59,0,35,29.5,87,90,58,27,41,103,114,41,50,44,0,191,0,0,51.5,0,206,27,27,36,0,149,38,61,26,72,NA,47,42,47,61,101,36.5,29.75,35,60,121,28,27,33,0,93,62,0,54,0
SPA Height4,144,0,38,34,31,106,39,21,20,51,68,0,42,23,70,116,69,30,40,114,113,47,49,18,0,167,0,0,43.5,0,180,24,30,31,0,191,44,64,30,55,NA,48,40,55,60,158,45,31,31.5,54,131,29,25,21,0,164,68,0,63,0
SPA Height5,130,0,35,39,54,110,57,11,18,54,64,0,29,26.5,74,104,65,24,34,98,0,38,40,42,0,179,0,0,38,0,178,40,31,26,0,140,41,54,31.5,55,NA,38,38,55,57,79,38,24,33,66,130,31,26,29,0,127,64,0,46,0
SPA Height6,141,0,44,38,44,96,38,29,24,32,88,0,36,31,62,94,59,25,33,91,0,39,41,38,0,180,0,0,56,0,175,38,27,33,0,161,39,49,30.5,48,NA,34,41,49,57,80.75,50,30,30,67.5,128,25,24,22,0,143,46,0,62,
SPA Height7,150,0,44,46,56,111,41,23,31,48,60,0,30,27,91,98,51,26,41,117,0,40,35,26,0,190,0,0,53,0,201,41,30,38,0,149,42,54,30,45,NA,35,43,60,61,65.5,53.5,27.5,30.5,58.5,126,26,38,37,0,146,52,0,61,0
SPA Height8,67,0,39,44,41,99,28,18,18,36,58,0,48,26.5,66,100,59,27,46,Na,0,35,41,42,0,140,0,0,53.5,0,200,39,30,33,0,155,39,44,27.5,39,NA,39,36,56,60,88,23,31,42,46.75,131,27,26,30,0,152,69,0,54,0
SPA Height9,141,0,44,41,39,104,0,21,19,39,61,0,39,24.5,68,93,53,20,45,Na,0,36,36,52,0,190,0,0,51.5,0,191,40,26,45,0,157,41,54,31.75,59,NA,31,39,44,56,100.5,36,34,35,38.5,118,33,24,29,0,161,65,0,48,0
SPA Height10,150,0,31,32,19,100,0,20,14,44,60,0,30,29,90,91,61,30,30,Na,0,37,39,41,0,187,0,0,53.5,0,181,29,24,35,0,153,36,54,32,45,NA,29,41,60,49,65,71,31.5,32,49,130,38,20,32,0,119,64,0,51,0
