Transect,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12
Quadrat,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,5,4,3,2,1,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
Burrows,0,0,0,0,0,0,0,0,0,0,,,,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Littorina,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Mussels,0,0,0,0,0,0,0,0,0,0,,,,2,0,5,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,6,1,1,1,16,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0
Melampus 1,0,0,3,32,9,0,0,2,0,8,,,,3,0,0,1,6,0,0,0,0,0,6,15,0,2,13,0,11,0,2,20,9,4,0,10,3,5,13,0,6,5,6,12,0,25,23,7,20,0,28,10,12,5,0,6,37,3,12
Melampus 2,0,1,12,8,62,0,0,10,0,12,,,,6,2,0,11,7,0,0,0,0,0,1,5,0,4,13,0,5,0,4,16,3,5,0,20,6,10,4,0,0,15,11,13,0,9,13,0,23,0,10,21,16,8,0,16,19,5,2
Melampus 3,0,0,42,27,8,0,0,14,0,6,,,,2,0,0,2,0,0,0,0,0,0,5,10,0,3,10,1,7,0,7,17,7,8,0,34,1,20,14,0,2,10,6,13,0,3,15,4,15,0,16,9,11,7,0,16,7,9,11
Melampus 4,0,0,0,23,39,0,0,0,0,16,,,,1,1,0,7,11,0,0,0,73,0,6,5,0,9,4,0,1,0,12,9,20,4,0,10,7,1,0,0,1,6,7,9,0,9,32,8,19,0,20,18,9,4,0,5,10,19,11
SPA,,1.5,3,52,18,0,0,0,,0.6,,,,1,2,3,30,0,2,28,89,,38,,10,70,0,0,30,40,88,,,28,15,77,1,0,45,0,5,60,3,0.5,0,68,,9,8,,84,,,0.1,64,88,28,3,48,35
SPP,,94,28,,,0,0,100,,12,,,,0,90,0,0,0,0,0,,,,,,,15,28,18,0,,38,,,3,0,56,0,0,0,80,,68,30,5,,,42,,,,34,18,98,,,40,70,,
SARC,,0.3,0.4,0.5,2,0,0,0.8,3,1,,,,,,,,,,,,0.5,0.8,,1,,0.1,,0.8,,,0.1,,0.2,0.1,0,0.5,0,0,52,,,,,,,0.2,0.5,,14,,,0.5,,,,,,1.8,
ATPA,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,1,,,,,,0,0,,0,1,,,,,,,,,,,,,,,,,,,,
DISP,,,24,,8,0,0,3,3,86,,,,40,,,10,40,90,,,1,,,,,10,10,,5,,10,79,5,,0,27,50,0,40,,10,3,0.5,40,,,,72,23,,55,26,2,21,3,8,4,,32
Juge,0,0,0,0,13,0,0,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,2,4,0.2,1,,,1,,,,,,3,0.2,,,,,
LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
