Trans,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,,,,,,,,,,,,,,
Quad,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,,,,,,,,,,,,,,
Burrows,0,3,0,2,0,0,2,5,12,0,0,0,6,1,0,0,6,3,3,0,6,6,2,3,0,18,4,3,0,0,12,0,5,4,0,0,3,0,1,0,0,2,6,1,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,7,,,,,,,,,,,,,,
Littorina,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Mussels,27,1,1,6,0,0,0,4,0,0,16,0,0,2,0,22,10,2,1,0,112,27,13,1,0,121,3,1,0,0,92,0,0,8,0,0,0,0,0,0,85,12,9,4,0,49,6,2,4,0,34,0,0,0,0,0,2,0,0,47,,,,,,,,,,,,,,
Melampus 1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,8,9,0,0,0,0,,,,,,,,,,,,,,
Melampus 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,3,0,0,0,,,,,,,,,,,,,,
Melampus 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,3,4,0,0,0,,,,,,,,,,,,,,
Melampus 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,7,0,0,0,,,,,,,,,,,,,,
SPA,88,70,75,37,3,53,48,90,59,5,90,40,45,78,15,20,70,78,41,7,100,10,12,,22,100,73,26,8,,100,13,21,,,,,40,0,0,50,40,83,60,0.6,95,69,59,75,27,98,75,43,33,52,96,25,39,78,2,,,,,,,,,,,,,,
