Code,Protocol,Fix,Remove
3FUHE,Video Sampling,FUHE,
Amphipods,Quadrat,AMPH,
Amphipoda,Vacuum Sampling,AMPH,
AMRO,Birds,AMRO,
beetle,Vacuum Sampling,,1
black white salticidae,Vacuum Sampling,Salticidae,
Blattodea,Vacuum Sampling,Blattodea,
CAMA.1,Deep Pitfall,CAMA,
CAMA.J,Deep Pitfall,CAMA,
Carcinus maenas,Vacuum Sampling,CAMA,
Carcinus.maenas,Cores,CAMA,
Caterpillar 1,Vacuum Sampling,Noctuidae,
CEDAR W.,Birds,CEWA,
CHIC,Birds,CHICK,
CHICKADEE,Birds,CHICK,
clam,Cores,,1
Clubonia,Vacuum Sampling,Clubonia sp,
COMMON TERN,Birds,COTE,
cousin tythus,Vacuum Sampling,Miridae,
Cousin tythus,Vacuum Sampling,Miridae,
Cousin Tytthus,Vacuum Sampling,Miridae,
Cousin Tyythus,Vacuum Sampling,Miridae,
Crab,Video Sampling,,1
CREWA,Birds,CEWA,
CYPHON,Shallow Pitfall,CYPH,
ELL,Video Sampling,EEL,
FID,Video Sampling,UCA,
Fiddlers,Quadrat,UPX,
Fly larvae,Vacuum Sampling,Tabanus nigrovattus,
FUME,Video Sampling,FUMA,
GEFLY,Shallow Pitfall,Tabanus nigrovattus,
Geukensia.demissa,Cores,GUDE,
GOLD FINCH,Birds,GOLD,
GRAC,Birds,GRAC,
GRCA,Birds,GRAC,
GREAT BB GULL,Birds,GBBG,
GREAT YELLOW LEGS,Birds,Ylegs,
Green crabs,Quadrat,CAMA,
GREGR,Birds,GEGR,
GREY CAT,Birds,CAT,
GREY CATBIRD,Birds,CAT,
GRYE,Birds,Ylegs,
HAR,Birds,HARRIER,
HERG,Birds,HEG,
HERRING GULL,Birds,HEG,
HRRG,Birds,HEG,
HYDRO,Shallow Pitfall,HYDR,
Iridescent fly,Vacuum Sampling,Chaetopsis sp.,
Juv dragonfly,Vacuum Sampling,Enallagma,
KESTROL,Birds,KEST,
KILL,Birds,KILL,
KILLDEER,Birds,KILL,
LAG,Birds,LAG,
Large abdomen salticidae,Vacuum Sampling,Salticidae,
LEAST SANDPIPER,Birds,LSPIP,
LESA,Birds,LSPIP,
