"Site","Zone","Tide","Species","Avg_Count"
"EP",1,"low","BBG",1
"EP",1,"low","BBPLOV",1
"EP",1,"low","CORM",1
"EP",1,"low","CROW",2
"EP",1,"low","EGR",1
"EP",1,"low","GREGR",1
"EP",1,"low","HAR",1
"EP",1,"low","HEG",8
"EP",1,"low","KING",1
"EP",1,"low","LSPIP",3
"EP",1,"low","SPPLOV",13
"EP",1,"low","WILLETT",1
"EP",1,"low","YLEGS",2
"EP",2,"mid","BBPLOV",6
"EP",2,"mid","CORM",4
"EP",2,"mid","COTE",19
"EP",2,"mid","GBBG",2
"EP",2,"mid","HEG",12
"EP",2,"mid","KUTU",1
"EP",2,"mid","LAG",1
"EP",2,"mid","LESA",14
"EP",2,"mid","LSPIP",1
"EP",2,"mid","MOCK",1
"EP",2,"mid","SMSPAR",1
"EP",2,"mid","TSWAL",1
"EP",2,"mid","WILLETT",1
"EP",3,"low","BBPLOV",6
"EP",3,"low","CORM",4
"EP",3,"low","COTE",6
"EP",3,"low","EGR",1
"EP",3,"low","GBBG",2
"EP",3,"low","GOLD",1
"EP",3,"low","GOOS",2
"EP",3,"low","HEG",10
"EP",3,"low","NHER",1
"EP",3,"low","OSP",1
"EP",3,"low","OYS",2
"EP",3,"low","RUDD",1
"EP",3,"low","SLING",5
"EP",3,"low","SMSPAR",3
"EP",3,"low","SPPLOV",3
"EP",3,"low","WILLETT",2
"GC",1,"high","BSWAL",25
"GC",1,"high","CORM",5
"GC",1,"high","EGR",8
"GC",1,"high","PPLOV",16
"GC",1,"high","TSWAL",28
"GC",1,"low","BBG",2
"GC",1,"low","CORM",1
"GC",1,"low","CROW",1
"GC",1,"low","HEG",3
"GC",1,"low","LAG",2
"GC",1,"low","PPLOV",33
"GC",1,"low","RWB",1
"GC",1,"low","SMSPAR",1
"GC",1,"low","SPPLOV",6
"GC",1,"low","TSWAL",1
"GC",2,"high","BBG",2
"GC",2,"high","BSWAL",7
"GC",2,"high","BSWAL ",2
"GC",2,"high","PPLOV",1
"GC",2,"high","TSWAL",7
"GC",2,"low","BBG",1
"GC",2,"low","CORM",2
"GC",2,"low","EGR",1
"GC",2,"low","LAG",3
"GC",2,"low","PLOV",1
"GC",2,"low","PPLOV",6
"GC",2,"low","SMSPAR",1
"GC",2,"low","SPPLOV",13
"GC",2,"low","TSWAL",2
"GC",3,"high","BSWAL",3
"GC",3,"high","CAT",1
"GC",3,"high","EGR",1
"GC",3,"high","PPLOV",6
"GC",3,"high","RWB",1
"GC",3,"high","TSMSPAR",1
"GC",3,"high","TSWAL",2
"GC",3,"low","BBG",2
"GC",3,"low","BSWAL",4
"GC",3,"low","CROW",1
"GC",3,"low","PPLOV",6
"GC",3,"low","RWB",1
"GC",3,"low","TSWAL",9
"MED",1,"high","CEWA",4
"MED",1,"high","CORM",6
"MED",1,"high","COTE",2
"MED",1,"high","CROW",8
"MED",1,"high","GBBG",2
"MED",1,"high","GOLD",1
"MED",1,"high","HEG",4
"MED",1,"high","LESA",2
"MED",1,"high","LSPIP",4
"MED",1,"high","MOURNINGDOVE",2
"MED",1,"high","SLING",1
"MED",1,"high","SMSPAR",3
"MED",1,"high","SPPIP",4
"MED",1,"high","TSWAL",2
"MED",1,"high","TUVU",1
"MED",1,"high","VULT",1
"MED",1,"high","WHIM",2
"MED",1,"LOW","CEWA",3
"MED",1,"LOW","CORM",1
