"Site","Year","Transect","Species","Count"
"PI",2014,1,"Litoraria.sp",2
"PI",2014,2,"Litoraria.sp",1
"PI",2014,3,"Litoraria.sp",4
"PI",2014,4,"Litoraria.sp",NA
"PI",2014,5,"Litoraria.sp",3
"PI",2014,6,"Litoraria.sp",1
"PI",2014,7,"Litoraria.sp",NA
"PI",2014,8,"Litoraria.sp",NA
"PI",2014,9,"Litoraria.sp",NA
"PI",2014,10,"Litoraria.sp",NA
"PI",2014,11,"Litoraria.sp",NA
"PI",2014,12,"Litoraria.sp",NA
"PI",2015,1,"Litoraria.sp",NA
"PI",2015,2,"Litoraria.sp",1
"PI",2015,3,"Litoraria.sp",NA
"PI",2015,4,"Litoraria.sp",NA
"PI",2015,5,"Litoraria.sp",NA
"PI",2015,6,"Litoraria.sp",NA
"PI",2015,7,"Litoraria.sp",2
"PI",2015,8,"Litoraria.sp",NA
"PI",2015,9,"Litoraria.sp",1
"PI",2015,10,"Litoraria.sp",1
"PI",2015,11,"Litoraria.sp",NA
"PI",2015,12,"Litoraria.sp",NA
"SQ",2015,1,"Litoraria.sp",NA
"SQ",2015,2,"Litoraria.sp",NA
"SQ",2015,3,"Litoraria.sp",NA
"SQ",2015,4,"Litoraria.sp",NA
"SQ",2015,5,"Litoraria.sp",NA
"SQ",2015,6,"Litoraria.sp",NA
"SQ",2015,7,"Litoraria.sp",NA
"SQ",2015,8,"Litoraria.sp",NA
"SQ",2015,9,"Litoraria.sp",NA
"SQ",2015,10,"Litoraria.sp",NA
"SQ",2015,11,"Litoraria.sp",NA
"SQ",2015,12,"Litoraria.sp",NA
"W",2015,1,"Litoraria.sp",NA
"W",2015,2,"Litoraria.sp",NA
"W",2015,3,"Litoraria.sp",NA
"W",2015,4,"Litoraria.sp",NA
"W",2015,5,"Litoraria.sp",NA
"W",2015,6,"Litoraria.sp",NA
"W",2015,7,"Litoraria.sp",NA
"W",2015,8,"Litoraria.sp",NA
"W",2015,9,"Litoraria.sp",NA
"W",2015,10,"Litoraria.sp",NA
"W",2015,11,"Litoraria.sp",NA
"W",2015,12,"Litoraria.sp",NA
"N",2014,1,"Litoraria.sp",NA
"N",2014,2,"Litoraria.sp",NA
"N",2014,3,"Litoraria.sp",NA
"N",2014,4,"Litoraria.sp",NA
"N",2014,5,"Litoraria.sp",NA
"N",2014,6,"Litoraria.sp",1
"N",2014,7,"Litoraria.sp",NA
"N",2014,8,"Litoraria.sp",NA
"N",2014,9,"Litoraria.sp",NA
"N",2014,10,"Litoraria.sp",1
"N",2014,11,"Litoraria.sp",NA
"N",2014,12,"Litoraria.sp",NA
"EP",2015,1,"Litoraria.sp",1
"EP",2015,2,"Litoraria.sp",NA
"EP",2015,3,"Litoraria.sp",NA
"EP",2015,4,"Litoraria.sp",NA
"EP",2015,5,"Litoraria.sp",1
"EP",2015,6,"Litoraria.sp",NA
"EP",2015,7,"Litoraria.sp",NA
"EP",2015,8,"Litoraria.sp",1
"EP",2015,9,"Litoraria.sp",NA
"EP",2015,10,"Litoraria.sp",NA
"EP",2015,11,"Litoraria.sp",2
"EP",2015,12,"Litoraria.sp",NA
"M",2015,1,"Litoraria.sp",NA
"M",2015,2,"Litoraria.sp",NA
"M",2015,3,"Litoraria.sp",NA
"M",2015,4,"Litoraria.sp",NA
"M",2015,5,"Litoraria.sp",NA
"M",2015,6,"Litoraria.sp",NA
"M",2015,7,"Litoraria.sp",NA
"M",2015,8,"Litoraria.sp",NA
"M",2015,9,"Litoraria.sp",NA
"M",2015,10,"Litoraria.sp",NA
"M",2015,11,"Litoraria.sp",NA
"M",2015,12,"Litoraria.sp",NA
"GC",2014,1,"Litoraria.sp",0
"GC",2014,2,"Litoraria.sp",0
"GC",2014,3,"Litoraria.sp",0
"GC",2014,4,"Litoraria.sp",0
"GC",2014,5,"Litoraria.sp",0
"GC",2014,6,"Litoraria.sp",0
