"Site","Transect","Quadrat","Species","Count","N_Squares"
"EP",1,1,"Acrodactyla sp",1,1
"EP",1,1,"callitula sp",2,2
"EP",1,1,"Cecidomyidae",6,5
"EP",1,1,"Chaetopsis sp.",2,2
"EP",1,1,"Chloropidae",9,9
"EP",1,1,"Clubonia sp",1,1
"EP",1,1,"Delphacodes",1,2
"EP",1,1,"Dohrniphora sp",2,2
"EP",1,1,"Dolichopodidae",1,2
"EP",1,1,"Hebridae",2,2
"EP",1,1,"Linyphidae",0,1
"EP",1,1,"Littorina littorea",4,4
"EP",1,1,"Orobatid mite",1,2
"EP",1,1,"Paraclius sp.",1,2
"EP",1,1,"Prokelisia sp",1,1
"EP",1,1,"Reduviidae",1,1
"EP",1,1,"Tipulidae",1,1
"EP",1,1,"Trigonotylus sp",5,6
"EP",1,1,"Tytthus sp.",7,7
"EP",1,3,"Cecidomyidae",9,6
"EP",1,3,"Chaetopsis sp.",1,1
"EP",1,3,"Chloropidae",6,4
"EP",1,3,"Delphacodes",30,11
"EP",1,3,"Erythrid mite",3,3
"EP",1,3,"Littorina littorea",3,3
"EP",1,3,"Megamealus sp.",12,7
"EP",1,3,"Orobatid mite",147,12
"EP",1,3,"Paraclius sp.",6,6
"EP",1,3,"Prokelisia sp",6,3
"EP",1,3,"Trigonotylus sp",2,2
"EP",1,3,"Tytthus sp.",1,1
"EP",1,5,"Amphipoda",5,4
"EP",1,5,"Cecidomyidae",13,7
"EP",1,5,"Chloropidae",11,7
"EP",1,5,"Orobatid mite",7,4
"EP",1,5,"Venzilla parvus",1,1
"EP",1,5,NA,3,8
"EP",2,1,"Amphipoda",1,1
"EP",2,1,"callitula sp",12,7
"EP",2,1,"Cecidomyidae",33,15
"EP",2,1,"Chaetopsis sp.",1,1
"EP",2,1,"Chloropidae",46,12
"EP",2,1,"Cicadellidae",5,4
"EP",2,1,"Clubonia sp",14,7
"EP",2,1,"Delphacodes",33,11
"EP",2,1,"Hydrophilidae larvae",3,3
"EP",2,1,"Linyphidae",1,1
"EP",2,1,"long antenna true bug",1,1
"EP",2,1,"Megamealus sp.",12,6
"EP",2,1,"Mycetophilidae ",1,1
"EP",2,1,"Ochlerotatus sollicitans",3,2
"EP",2,1,"Orobatid mite",14,4
"EP",2,1,"Paraclius sp.",7,5
"EP",2,1,"Prokelisia sp",7,3
"EP",2,1,"Trigonotylus sp",16,9
"EP",2,1,"Trombid mite",1,1
"EP",2,3,"Amphipoda",1,1
"EP",2,3,"callitula sp",1,1
"EP",2,3,"Cecidomyidae",1,1
"EP",2,3,"Chloropidae",8,8
"EP",2,3,"Cicadellidae",2,2
"EP",2,3,"Erythrid mite",6,5
"EP",2,3,"Gryllus sp.",1,1
"EP",2,3,"Littorina littorea",2,2
"EP",2,3,"Megamealus sp.",2,2
"EP",2,3,"Orobatid mite",4,4
"EP",2,3,"Salticidae",1,1
"EP",2,3,"Trombid mite",7,7
"EP",2,5,"Cecidomyidae",15,7
"EP",2,5,"Chloropidae",7,7
"EP",2,5,"Cicadellidae",7,6
"EP",2,5,"Delphacodes",8,5
"EP",2,5,"Erythrid mite",10,8
"EP",2,5,"Megamealus sp.",7,5
"EP",2,5,"Mycetophilidae ",1,1
"EP",2,5,"Orobatid mite",13,5
"EP",2,5,"Prokelisia sp",4,3
"EP",3,1,"Acrodactyla sp",1,1
"EP",3,1,"callitula sp",11,6
"EP",3,1,"Cecidomyidae",5,2
"EP",3,1,"Chaetopsis sp.",4,2
"EP",3,1,"Chloropidae",11,8
"EP",3,1,"Cicadellidae",1,1
"EP",3,1,"Delphacodes",6,4
"EP",3,1,"Dolichopodidae",1,1
"EP",3,1,"Grammonota trivitatta",2,2
"EP",3,1,"Hebridae",2,2
"EP",3,1,"Lasius",1,1
"EP",3,1,"Linyphidae",8,6
"EP",3,1,"Megamealus sp.",9,7
"EP",3,1,"Orobatid mite",8,4
"EP",3,1,"Prokelisia sp",7,6
"EP",3,1,"Trigonotylus sp",8,4
"EP",3,1,"Tytthus sp.",3,2
"EP",3,3,"callitula sp",1,1
"EP",3,3,"Cecidomyidae",25,12
"EP",3,3,"Chloropidae",8,6
"EP",3,3,"Clubonia sp",1,1
"EP",3,3,"Erythrid mite",18,10
"EP",3,3,"Orobatid mite",25,15
"EP",3,3,"Paraclius sp.",1,1
"EP",3,3,"Prokelisia sp",3,2
"EP",3,3,"Trombid mite",1,1
"EP",3,3,"Venzilla parvus",3,3
"EP",3,5,"Black ant (Formicidae)",1,1
"EP",3,5,"callitula sp",6,3
"EP",3,5,"Cecidomyidae",2,1
"EP",3,5,"Chloropidae",9,6
"EP",3,5,"Cicadellidae",1,1
"EP",3,5,"Delphacodes",5,3
"EP",3,5,"Erythrid mite",7,5
"EP",3,5,"Megamealus sp.",9,6
"EP",3,5,"Orobatid mite",23,8
"EP",3,5,"Paraclius sp.",1,1
"EP",3,5,"Prokelisia sp",24,8
"EP",4,1,"callitula sp",9,8
"EP",4,1,"Cecidomyidae",2,1
"EP",4,1,"Chaetopsis sp.",1,1
"EP",4,1,"Chloropidae",5,4
"EP",4,1,"Delphacodes",5,4
"EP",4,1,"Dolichopodidae",2,1
"EP",4,1,"Grammonota trivitatta",5,4
"EP",4,1,"Lasius",1,1
"EP",4,1,"Linyphidae",11,8
"EP",4,1,"long nose black beetle",1,1
"EP",4,1,"Megamealus sp.",8,6
"EP",4,1,"Orobatid mite",5,3
"EP",4,1,"Prokelisia sp",8,5
"EP",4,1,"Tipula sp.",1,1
"EP",4,1,"Trigonotylus sp",6,5
"EP",4,3,"Chaetopsis sp.",2,1
"EP",4,3,"Chloropidae",26,1
"EP",4,3,"Clubonia sp",1,1
"EP",4,3,"Noctuidae",1,1
"EP",4,3,"Ochlerotatus sollicitans",1,1
"EP",4,3,"Prokelisia sp",12,1
"EP",4,3,"Reduviidae",10,1
"EP",4,3,"Spathius sp.",1,1
"EP",4,3,"Tipulidae",1,1
"EP",4,5,"Amphipoda",6,6
"EP",4,5,"callitula sp",16,9
"EP",4,5,"Cecidomyidae",65,17
"EP",4,5,"Chloropidae",19,7
"EP",4,5,"Delphacodes",14,9
"EP",4,5,"Long nose black beetle",4,1
"EP",4,5,"Megamealus sp.",4,2
"EP",4,5,"Paraclius sp.",5,4
"EP",4,5,"Purple butt fly",11,6
"EP",4,5,"Trombid mite",33,10
"EP",4,5,"UNK salticidae",1,1
"EP",4,5,"Venzilla parvus",6,4
"EP",5,1,"Acrodactyla sp",4,4
"EP",5,1,"callitula sp",3,2
"EP",5,1,"Cecidomyidae",1,1
"EP",5,1,"Chaetopsis sp.",3,1
"EP",5,1,"Dohrniphora sp",18,7
"EP",5,1,"Littorina littorea",5,4
"EP",5,1,"Mycetophilidae ",3,2
"EP",5,1,"Orobatid mite",6,5
"EP",5,1,"Prokelisia sp",20,9
"EP",5,1,"pyrrhocoridae sp",3,2
"EP",5,1,"Sminthuridae",7,3
"EP",5,1,"Trombid mite",1,1
