Quadrat,Transect,Site,Burrows,Littorina,Melampus,Mussels
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
0,0,W,0,0,0,0
1,1,EP,88,5,0,6
1,1,Med,200,0,7,0
1,1,N,352,0,0,48
1,1,PI,0,0,0,0
1,1,PI15,0,0,0,0
1,1,SQ,0,0,0,0
1,1,W,0,3,0,27
1,2,EP,16,0,0,2
1,2,Med,136,0,7,0
1,2,N,288,1,0,8
1,2,PI,0,0,100,0
1,2,PI15,0,0,0,0
1,2,SQ,0,0,0,0
1,2,W,0,0,30,0
1,3,EP,32,0,0,1
1,3,Med,168,0,24,0
1,3,N,192,1,0,14
1,3,PI,0,0,0,0
1,3,PI15,0,0,0,0
1,3,SQ,0,0,0,0
1,3,W,0,0,0,16
1,4,EP,104,0,3,8
1,4,GC,16,11,0,0
1,4,Med,312,0,0,0
1,4,N,96,0,0,9
1,4,PI,0,0,0,1
1,4,PI15,0,0,0,0
1,4,SQ,16,0,0,5
1,4,W,0,0,0,22
1,5,EP,96,4,1,11
1,5,GC,32,0,0,0
1,5,Med,144,0,3,0
1,5,N,8,1,0,99
1,5,PI,0,0,0,0
1,5,PI15,0,0,2,0
1,5,SQ,0,0,35,1
1,5,W,48,0,0,112
1,6,EP,176,3,0,2
1,6,GC,0,0,0,0
1,6,Med,184,0,7,0
1,6,N,232,0,0,58
1,6,PI,0,0,0,44
1,6,PI15,16,0,0,0
1,6,SQ,0,0,0,0
1,6,W,144,0,0,121
1,7,EP,48,0,0,4
1,7,GC,48,4,0,0
1,7,Med,0,10,0,4
1,7,N,256,0,0,28
1,7,PI,48,4,0,2
1,7,PI15,8,0,0,0
1,7,SQ,0,0,0,2
1,7,W,96,0,0,92
1,8,EP,32,3,0,0
1,8,GC,88,0,1,0
1,8,Med,0,40,0,26
1,8,N,0,15,0,0
1,8,PI,0,0,0,0
1,8,PI15,8,0,0,0
1,8,SQ,0,0,0,6
1,8,W,0,0,0,0
1,9,EP,144,0,0,4
1,9,GC,32,0,0,0
1,9,Med,0,0,0,1
1,9,N,96,0,0,68
1,9,PI,0,0,64,0
1,9,PI15,0,0,17,0
1,9,SQ,0,0,0,0
1,9,W,0,0,0,85
1,10,EP,24,0,0,4
1,10,GC,64,0,0,0
1,10,Med,8,7,0,0
1,10,N,40,0,0,48
1,10,PI,24,0,0,1
1,10,PI15,0,0,1,1
1,10,SQ,8,0,0,1
1,10,W,0,0,0,49
1,11,EP,40,0,3,0
1,11,GC,8,0,0,0
1,11,Med,8,2,0,0
1,11,N,40,0,0,20
1,11,PI,8,1,0,33
1,11,PI15,0,0,0,1
1,11,SQ,0,2,0,0
1,11,W,24,0,0,34
1,12,EP,56,0,3,0
1,12,GC,72,0,0,0
1,12,Med,24,0,0,2
1,12,N,200,0,0,48
1,12,PI,16,0,0,2
1,12,PI15,16,0,0,0
1,12,SQ,32,0,0,3
1,12,W,0,0,18,0
2,1,EP,0,4,3,0
2,1,Med,0,0,5,0
2,1,N,56,0,2,18
2,1,PI,0,0,17,0
2,1,PI15,0,0,15,0
2,1,SQ,0,0,1,0
2,1,W,24,0,0,1
2,2,EP,48,0,0,0
2,2,Med,0,0,0,0
2,2,N,136,0,0,24
2,2,PI,0,0,16,0
2,2,PI15,0,0,38,0
2,2,SQ,0,0,0,0
2,2,W,16,0,0,0
2,3,EP,16,0,6,0
2,3,Med,0,0,0,0
2,3,N,0,0,4,0
2,3,PI,0,0,27,0
2,3,PI15,0,0,22,1
2,3,SQ,0,0,0,0
2,3,W,0,0,0,0
2,4,EP,0,0,0,0
2,4,GC,0,0,2,0
2,4,Med,24,0,5,0
2,4,N,24,0,0,0
2,4,PI,0,0,15,0
2,4,PI15,0,0,22,0
2,4,SQ,0,0,21,0
2,4,W,48,0,0,10
2,5,EP,0,21,2,0
2,5,GC,0,0,0,0
2,5,Med,0,0,9,4
2,5,N,0,0,0,0
2,5,PI,0,0,54,0
2,5,PI15,0,0,33,0
2,5,SQ,0,0,18,0
2,5,W,48,0,0,27
2,6,EP,56,7,0,7
2,6,GC,0,0,0,0
2,6,Med,296,3,3,0
2,6,N,0,0,10,1
2,6,PI,0,0,64,0
2,6,PI15,0,0,635,1
2,6,SQ,0,0,18,0
2,6,W,32,0,0,3
2,7,EP,0,3,0,1
2,7,GC,0,0,0,2
