Quadrat,Transect,Site,Measurement,Value
2,11,EP,% Bare,23
1,11,EP,% Bare,41
5,10,EP,% Bare,40
4,10,EP,% Bare,12
3,10,EP,% Bare,0
2,10,EP,% Bare,58
1,10,EP,% Bare,10
1,9,EP,% Bare,76
2,9,EP,% Bare,0
3,9,EP,% Bare,9
1,12,EP,% Bare,60
4,9,EP,% Bare,0
5,9,EP,% Bare,31
1,8,EP,% Bare,61
2,8,EP,% Bare,38
3,8,EP,% Bare,74
4,8,EP,% Bare,6
5,8,EP,% Bare,0
1,7,EP,% Bare,57
2,7,EP,% Bare,2
3,7,EP,% Bare,0
2,12,EP,% Bare,2
4,7,EP,% Bare,18
5,7,EP,% Bare,0
1,6,EP,% Bare,58
2,6,EP,% Bare,14
3,6,EP,% Bare,5
4,6,EP,% Bare,2
5,6,EP,% Bare,11
5,5,EP,% Bare,14
4,5,EP,% Bare,3
3,5,EP,% Bare,39
3,12,EP,% Bare,4
2,5,EP,% Bare,9
1,5,EP,% Bare,44
1,4,EP,% Bare,14
2,4,EP,% Bare,0
3,4,EP,% Bare,33
4,4,EP,% Bare,30
5,4,EP,% Bare,13
5,3,EP,% Bare,20
4,3,EP,% Bare,12
3,3,EP,% Bare,14
4,12,EP,% Bare,0
2,3,EP,% Bare,25
1,3,EP,% Bare,39
1,2,EP,% Bare,0
2,2,EP,% Bare,12
3,2,EP,% Bare,0
4,2,EP,% Bare,0
5,2,EP,% Bare,0
1,1,EP,% Bare,15
2,1,EP,% Bare,4
3,1,EP,% Bare,0
5,12,EP,% Bare,0
4,1,EP,% Bare,8
5,1,EP,% Bare,0
5,11,EP,% Bare,10
4,11,EP,% Bare,18
3,11,EP,% Bare,25
4,8,GC,% Bare,0
5,8,GC,% Bare,0
1,12,GC,% Bare,6
2,12,GC,% Bare,3
3,12,GC,% Bare,18
4,12,GC,% Bare,22
5,12,GC,% Bare,0
1,7,GC,% Bare,0
2,7,GC,% Bare,51
1,6,GC,% Bare,0
1,10,GC,% Bare,0
2,6,GC,% Bare,0
5,1,GC,% Bare,0
1,4,GC,% Bare,5
2,4,GC,% Bare,3
3,4,GC,% Bare,0
4,4,GC,% Bare,0
5,4,GC,% Bare,0
1,5,GC,% Bare,10
2,5,GC,% Bare,12
3,5,GC,% Bare,27
2,10,GC,% Bare,4
4,5,GC,% Bare,10
5,5,GC,% Bare,0
1,11,GC,% Bare,7
2,11,GC,% Bare,0
3,11,GC,% Bare,0
4,11,GC,% Bare,0
5,11,GC,% Bare,0
1,9,GC,% Bare,24
2,9,GC,% Bare,19
3,9,GC,% Bare,0
3,10,GC,% Bare,0
4,9,GC,% Bare,61
5,9,GC,% Bare,11
5,7,GC,% Bare,0
4,7,GC,% Bare,16
3,7,GC,% Bare,45
5,6,GC,% Bare,0
4,6,GC,% Bare,15
4,10,GC,% Bare,0
5,10,GC,% Bare,0
1,8,GC,% Bare,10
2,8,GC,% Bare,0
3,8,GC,% Bare,0
4,2,Med,% Bare,0
5,2,Med,% Bare,70
1,3,Med,% Bare,75
2,3,Med,% Bare,100
3,3,Med,% Bare,25
4,3,Med,% Bare,5
5,3,Med,% Bare,50
1,4,Med,% Bare,65
2,4,Med,% Bare,45
3,4,Med,% Bare,49
1,1,Med,% Bare,80
4,4,Med,% Bare,70
5,4,Med,% Bare,2
5,5,Med,% Bare,5
4,5,Med,% Bare,10
3,5,Med,% Bare,15
2,5,Med,% Bare,1
1,5,Med,% Bare,45
1,6,Med,% Bare,95
2,6,Med,% Bare,100
3,6,Med,% Bare,75
2,1,Med,% Bare,0
4,6,Med,% Bare,80
5,6,Med,% Bare,3
1,7,Med,% Bare,98
2,7,Med,% Bare,85
3,7,Med,% Bare,100
4,7,Med,% Bare,90
5,7,Med,% Bare,2
1,8,Med,% Bare,10
2,8,Med,% Bare,5
3,8,Med,% Bare,10
3,1,Med,% Bare,37
4,8,Med,% Bare,70
5,8,Med,% Bare,10
5,9,Med,% Bare,85
4,9,Med,% Bare,0
3,9,Med,% Bare,0
2,9,Med,% Bare,31
1,9,Med,% Bare,90
5,10,Med,% Bare,0
4,10,Med,% Bare,2
3,10,Med,% Bare,5
4,1,Med,% Bare,95
2,10,Med,% Bare,10
1,10,Med,% Bare,20
1,11,Med,% Bare,88
2,11,Med,% Bare,4
3,11,Med,% Bare,0
4,11,Med,% Bare,60
5,11,Med,% Bare,0
1,12,Med,% Bare,92
2,12,Med,% Bare,38
3,12,Med,% Bare,2
5,1,Med,% Bare,2
4,12,Med,% Bare,6
5,12,Med,% Bare,0
1,2,Med,% Bare,60
2,2,Med,% Bare,1
3,2,Med,% Bare,0
4,2,N,% Bare,0
5,2,N,% Bare,0
1,3,N,% Bare,58
2,3,N,% Bare,0
3,3,N,% Bare,9
4,3,N,% Bare,0
5,3,N,% Bare,0
1,4,N,% Bare,36
2,4,N,% Bare,0
3,4,N,% Bare,17
1,1,N,% Bare,12
4,4,N,% Bare,0
5,4,N,% Bare,6
1,5,N,% Bare,16
2,5,N,% Bare,4
3,5,N,% Bare,0
4,5,N,% Bare,40
5,5,N,% Bare,8
1,6,N,% Bare,28
2,6,N,% Bare,0
3,6,N,% Bare,0
2,1,N,% Bare,8
4,6,N,% Bare,0
5,6,N,% Bare,0
1,7,N,% Bare,87
2,7,N,% Bare,0
3,7,N,% Bare,4
4,7,N,% Bare,2
5,7,N,% Bare,0
1,8,N,% Bare,4
2,8,N,% Bare,2
3,8,N,% Bare,2
3,1,N,% Bare,0.6
4,8,N,% Bare,18
5,8,N,% Bare,0
1,9,N,% Bare,12
2,9,N,% Bare,0
3,9,N,% Bare,3
4,9,N,% Bare,9
5,9,N,% Bare,0
1,10,N,% Bare,13
2,10,N,% Bare,2
3,10,N,% Bare,8
4,1,N,% Bare,0
4,10,N,% Bare,0
5,10,N,% Bare,0
1,11,N,% Bare,19
2,11,N,% Bare,6
3,11,N,% Bare,18
4,11,N,% Bare,9
5,11,N,% Bare,7
1,12,N,% Bare,6
2,12,N,% Bare,2
3,12,N,% Bare,3
5,1,N,% Bare,0
4,12,N,% Bare,0
5,12,N,% Bare,0
1,2,N,% Bare,44
2,2,N,% Bare,51
3,2,N,% Bare,0
4,2,PI,% Bare,11
5,2,PI,% Bare,0
1,3,PI,% Bare,0
2,3,PI,% Bare,0
3,3,PI,% Bare,0
4,3,PI,% Bare,0
5,3,PI,% Bare,32
1,4,PI,% Bare,15
2,4,PI,% Bare,9
3,4,PI,% Bare,0
1,1,PI,% Bare,8
4,4,PI,% Bare,23
5,4,PI,% Bare,17
1,5,PI,% Bare,2
2,5,PI,% Bare,0
3,5,PI,% Bare,0
4,5,PI,% Bare,3
5,5,PI,% Bare,18
1,6,PI,% Bare,29
2,6,PI,% Bare,0
3,6,PI,% Bare,0
2,1,PI,% Bare,96
4,6,PI,% Bare,0
5,6,PI,% Bare,0
1,7,PI,% Bare,0
2,7,PI,% Bare,0
3,7,PI,% Bare,0
4,7,PI,% Bare,5
5,7,PI,% Bare,0
1,8,PI,% Bare,6
2,8,PI,% Bare,0
3,8,PI,% Bare,0
3,1,PI,% Bare,8
4,8,PI,% Bare,11
5,8,PI,% Bare,0
1,9,PI,% Bare,0
2,9,PI,% Bare,8
3,9,PI,% Bare,29
4,9,PI,% Bare,0
5,9,PI,% Bare,8
1,10,PI,% Bare,29
2,10,PI,% Bare,0
3,10,PI,% Bare,0
4,1,PI,% Bare,23
4,10,PI,% Bare,0
5,10,PI,% Bare,0
1,11,PI,% Bare,0
2,11,PI,% Bare,0
3,11,PI,% Bare,8
4,11,PI,% Bare,63
5,11,PI,% Bare,0
1,12,PI,% Bare,20
2,12,PI,% Bare,0
3,12,PI,% Bare,0
5,1,PI,% Bare,9
4,12,PI,% Bare,0
5,12,PI,% Bare,0
1,2,PI,% Bare,0
2,2,PI,% Bare,0
3,2,PI,% Bare,12
4,2,PI15,% Bare,11
5,2,PI15,% Bare,0
1,3,PI15,% Bare,0
2,3,PI15,% Bare,0
3,3,PI15,% Bare,2
4,3,PI15,% Bare,0
5,3,PI15,% Bare,18
1,4,PI15,% Bare,2
2,4,PI15,% Bare,0
3,4,PI15,% Bare,0
1,1,PI15,% Bare,24
4,4,PI15,% Bare,0
5,4,PI15,% Bare,0
5,5,PI15,% Bare,40
4,5,PI15,% Bare,0
3,5,PI15,% Bare,0
2,5,PI15,% Bare,7
1,5,PI15,% Bare,10
1,6,PI15,% Bare,46
2,6,PI15,% Bare,4
3,6,PI15,% Bare,33
2,1,PI15,% Bare,0
4,6,PI15,% Bare,23
5,6,PI15,% Bare,0
1,7,PI15,% Bare,36
2,7,PI15,% Bare,3
3,7,PI15,% Bare,0
4,7,PI15,% Bare,52
5,7,PI15,% Bare,0
1,8,PI15,% Bare,27
2,8,PI15,% Bare,0
3,8,PI15,% Bare,8
3,1,PI15,% Bare,0
4,8,PI15,% Bare,25
5,8,PI15,% Bare,0
1,9,PI15,% Bare,0
2,9,PI15,% Bare,0
3,9,PI15,% Bare,0
4,9,PI15,% Bare,36
5,9,PI15,% Bare,0
1,10,PI15,% Bare,28
2,10,PI15,% Bare,9
3,10,PI15,% Bare,17
4,1,PI15,% Bare,0
4,10,PI15,% Bare,27
5,10,PI15,% Bare,17
1,11,PI15,% Bare,25
2,11,PI15,% Bare,9
3,11,PI15,% Bare,48
4,11,PI15,% Bare,15
5,11,PI15,% Bare,42
1,12,PI15,% Bare,8
2,12,PI15,% Bare,0
3,12,PI15,% Bare,0
5,1,PI15,% Bare,11
4,12,PI15,% Bare,2
5,12,PI15,% Bare,3
1,2,PI15,% Bare,0
2,2,PI15,% Bare,0
3,2,PI15,% Bare,12
4,2,SQ,% Bare,0
5,2,SQ,% Bare,7
1,3,SQ,% Bare,0
2,3,SQ,% Bare,0
3,3,SQ,% Bare,0
4,3,SQ,% Bare,5
5,3,SQ,% Bare,0
1,4,SQ,% Bare,40
2,4,SQ,% Bare,30
3,4,SQ,% Bare,0
1,1,SQ,% Bare,0
4,4,SQ,% Bare,3
5,4,SQ,% Bare,70
5,5,SQ,% Bare,40
4,5,SQ,% Bare,40
3,5,SQ,% Bare,65
2,5,SQ,% Bare,36
1,5,SQ,% Bare,30
1,6,SQ,% Bare,20
2,6,SQ,% Bare,8
3,6,SQ,% Bare,0
2,1,SQ,% Bare,21
4,6,SQ,% Bare,2
5,6,SQ,% Bare,10
1,7,SQ,% Bare,10
2,7,SQ,% Bare,7
3,7,SQ,% Bare,2
4,7,SQ,% Bare,45
5,7,SQ,% Bare,68
1,8,SQ,% Bare,35
2,8,SQ,% Bare,18
3,8,SQ,% Bare,30
3,1,SQ,% Bare,17
4,8,SQ,% Bare,75
5,8,SQ,% Bare,25
1,9,SQ,% Bare,5
2,9,SQ,% Bare,5
3,9,SQ,% Bare,7
4,9,SQ,% Bare,0
5,9,SQ,% Bare,5
1,10,SQ,% Bare,39
2,10,SQ,% Bare,4
3,10,SQ,% Bare,0
4,1,SQ,% Bare,40
4,10,SQ,% Bare,5
5,10,SQ,% Bare,11
1,11,SQ,% Bare,0
