"Site","Transect","Year","sediment_dry_mass_g"
"PI",1,2014,1.8278
"PI",2,2014,1.6048
"PI",3,2014,0.4574
"PI",4,2014,0.5799
"PI",5,2014,0.3747
"PI",6,2014,1.34
"PI",7,2014,1.1758
"PI",8,2014,2.2093
"PI",9,2014,0.3769
"PI",10,2014,0.1959
"PI",11,2014,1.009
"PI",12,2014,1.452
"PI15",1,2015,1.0755
"PI15",2,2015,1.432
"PI15",3,2015,0.791
"PI15",4,2015,0.987
"PI15",5,2015,0.825
"PI15",6,2015,0.961
"PI15",7,2015,1.7934
"PI15",8,2015,NA
"PI15",9,2015,1.05
"PI15",10,2015,1.0789
"PI15",11,2015,0.8795
"PI15",12,2015,2.074
"SQ",1,2015,0.3034
"SQ",2,2015,0.1909
"SQ",3,2015,0.12106
"SQ",4,2015,0.3048
"SQ",5,2015,0.8651
"SQ",6,2015,1.3215
"SQ",7,2015,1.1251
"SQ",8,2015,0.5173
"SQ",9,2015,0.4617
"SQ",10,2015,1.1164
"SQ",11,2015,1.4962
"SQ",12,2015,0.6653
"W",1,2015,0.421
"W",2,2015,0.8712
"W",3,2015,0.77
"W",4,2015,0.65
"W",5,2015,0.6396
"W",6,2015,0.7754
"W",7,2015,0.7029
"W",8,2015,0.7229
"W",9,2015,0.1463
"W",10,2015,0.1081
"W",11,2015,0.6539
"W",12,2015,0.7103
"N",1,2014,2.4
"N",2,2014,2.96
"N",3,2014,2.68
"N",4,2014,2.5
"N",5,2014,2.03
"N",6,2014,1.44
"N",7,2014,3.3
"N",8,2014,2.56
"N",9,2014,2.18
"N",10,2014,2.74
"N",11,2014,1.86
"N",12,2014,2.2
"EP",1,2015,1.11
"EP",2,2015,4
"EP",3,2015,3.29
"EP",4,2015,2.1
"EP",5,2015,2.21
"EP",6,2015,2.2
"EP",7,2015,2.2
"EP",8,2015,2.4
"EP",9,2015,2.31
"EP",10,2015,1.11
"EP",11,2015,3.1
"EP",12,2015,2.1
"M",1,2015,2.29
"M",2,2015,2.56
"M",3,2015,1.64
"M",4,2015,2.34
"M",5,2015,2.8
"M",6,2015,2.9
"M",7,2015,1.34
"M",8,2015,2.21
"M",9,2015,1.75
"M",10,2015,4
"M",11,2015,1.3
"M",12,2015,2.3
"GC",1,2014,NA
"GC",2,2014,NA
"GC",3,2014,NA
"GC",4,2014,NA
"GC",5,2014,NA
"GC",6,2014,NA
"GC",7,2014,NA
"GC",8,2014,NA
"GC",9,2014,NA
"GC",10,2014,NA
"GC",11,2014,NA
"GC",12,2014,NA
"RI",1,2014,NA
"RI",2,2014,NA
"RI",3,2014,NA
"RI",4,2014,NA
"RI",5,2014,NA
"RI",6,2014,NA
"RI",7,2014,NA
"RI",8,2014,NA
"RI",9,2014,NA
"RI",10,2014,NA
"RI",11,2014,NA
"RI",12,2014,NA
