"Site","Year","Transect","Species","Count"
"PI",2014,1,"AMPH",77
"PI",2014,2,"AMPH",63
"PI",2014,3,"AMPH",17
"PI",2014,4,"AMPH",49
"PI",2014,5,"AMPH",12
"PI",2014,6,"AMPH",68
"PI",2014,7,"AMPH",71
"PI",2014,8,"AMPH",127
"PI",2014,9,"AMPH",70
"PI",2014,10,"AMPH",4
"PI",2014,11,"AMPH",36
"PI",2014,12,"AMPH",61
"PI",2015,1,"AMPH",87
"PI",2015,2,"AMPH",31
"PI",2015,3,"AMPH",24
"PI",2015,4,"AMPH",176
"PI",2015,5,"AMPH",48
"PI",2015,6,"AMPH",2
"PI",2015,7,"AMPH",10
"PI",2015,8,"AMPH",12
"PI",2015,9,"AMPH",78
"PI",2015,10,"AMPH",NA
"PI",2015,11,"AMPH",49
"PI",2015,12,"AMPH",16
"SQ",2015,1,"AMPH",NA
"SQ",2015,2,"AMPH",NA
"SQ",2015,3,"AMPH",NA
"SQ",2015,4,"AMPH",NA
"SQ",2015,5,"AMPH",NA
"SQ",2015,6,"AMPH",91
"SQ",2015,7,"AMPH",76
"SQ",2015,8,"AMPH",99
"SQ",2015,9,"AMPH",61
"SQ",2015,10,"AMPH",41
"SQ",2015,11,"AMPH",12
"SQ",2015,12,"AMPH",82
"W",2015,1,"AMPH",67
"W",2015,2,"AMPH",51
"W",2015,3,"AMPH",41
"W",2015,4,"AMPH",12
"W",2015,5,"AMPH",10
"W",2015,6,"AMPH",16
"W",2015,7,"AMPH",28
"W",2015,8,"AMPH",51
"W",2015,9,"AMPH",69
"W",2015,10,"AMPH",14
"W",2015,11,"AMPH",57
"W",2015,12,"AMPH",41
"N",2014,1,"AMPH",11
"N",2014,2,"AMPH",13
"N",2014,3,"AMPH",2
"N",2014,4,"AMPH",4
"N",2014,5,"AMPH",14
"N",2014,6,"AMPH",41
"N",2014,7,"AMPH",51
"N",2014,8,"AMPH",44
"N",2014,9,"AMPH",23
"N",2014,10,"AMPH",12
"N",2014,11,"AMPH",34
"N",2014,12,"AMPH",51
"EP",2015,1,"AMPH",NA
"EP",2015,2,"AMPH",4
"EP",2015,3,"AMPH",NA
"EP",2015,4,"AMPH",9
"EP",2015,5,"AMPH",NA
"EP",2015,6,"AMPH",7
"EP",2015,7,"AMPH",12
"EP",2015,8,"AMPH",20
"EP",2015,9,"AMPH",NA
"EP",2015,10,"AMPH",NA
"EP",2015,11,"AMPH",48
"EP",2015,12,"AMPH",26
"M",2015,1,"AMPH",NA
"M",2015,2,"AMPH",NA
"M",2015,3,"AMPH",NA
"M",2015,4,"AMPH",NA
"M",2015,5,"AMPH",NA
"M",2015,6,"AMPH",NA
"M",2015,7,"AMPH",NA
"M",2015,8,"AMPH",3
"M",2015,9,"AMPH",NA
"M",2015,10,"AMPH",2
"M",2015,11,"AMPH",NA
"M",2015,12,"AMPH",NA
"GC",2014,1,"AMPH",2
"GC",2014,2,"AMPH",NA
"GC",2014,3,"AMPH",6
"GC",2014,4,"AMPH",NA
"GC",2014,5,"AMPH",2
"GC",2014,6,"AMPH",3
"GC",2014,7,"AMPH",3
"GC",2014,8,"AMPH",2
"GC",2014,9,"AMPH",NA
"GC",2014,10,"AMPH",2
"GC",2014,11,"AMPH",NA
"GC",2014,12,"AMPH",NA
"RI",2014,1,"AMPH",NA
"RI",2014,2,"AMPH",NA
"RI",2014,3,"AMPH",NA
"RI",2014,4,"AMPH",NA
"RI",2014,5,"AMPH",NA
"RI",2014,6,"AMPH",NA
"RI",2014,7,"AMPH",NA
"RI",2014,8,"AMPH",NA
"RI",2014,9,"AMPH",NA
"RI",2014,10,"AMPH",NA
"RI",2014,11,"AMPH",NA
"RI",2014,12,"AMPH",NA
"PI",2014,1,"UPX",NA
"PI",2014,2,"UPX",NA
"PI",2014,3,"UPX",NA
"PI",2014,4,"UPX",NA
"PI",2014,5,"UPX",NA
"PI",2014,6,"UPX",NA
"PI",2014,7,"UPX",NA
"PI",2014,8,"UPX",NA
"PI",2014,9,"UPX",NA
"PI",2014,10,"UPX",NA
"PI",2014,11,"UPX",NA
"PI",2014,12,"UPX",NA
"PI",2015,1,"UPX",NA
"PI",2015,2,"UPX",NA
"PI",2015,3,"UPX",NA
"PI",2015,4,"UPX",NA
"PI",2015,5,"UPX",NA
"PI",2015,6,"UPX",NA
"PI",2015,7,"UPX",NA
"PI",2015,8,"UPX",NA
"PI",2015,9,"UPX",NA
"PI",2015,10,"UPX",NA
"PI",2015,11,"UPX",NA
"PI",2015,12,"UPX",NA
"SQ",2015,1,"UPX",NA
"SQ",2015,2,"UPX",NA
"SQ",2015,3,"UPX",NA
"SQ",2015,4,"UPX",NA
"SQ",2015,5,"UPX",NA
"SQ",2015,6,"UPX",NA
"SQ",2015,7,"UPX",NA
"SQ",2015,8,"UPX",NA
"SQ",2015,9,"UPX",NA
"SQ",2015,10,"UPX",NA
"SQ",2015,11,"UPX",NA
"SQ",2015,12,"UPX",NA
"W",2015,1,"UPX",2
"W",2015,2,"UPX",3
"W",2015,3,"UPX",6
"W",2015,4,"UPX",2
"W",2015,5,"UPX",NA
"W",2015,6,"UPX",NA
"W",2015,7,"UPX",1
"W",2015,8,"UPX",4
"W",2015,9,"UPX",NA
"W",2015,10,"UPX",4
"W",2015,11,"UPX",NA
"W",2015,12,"UPX",4
"N",2014,1,"UPX",2
"N",2014,2,"UPX",1
"N",2014,3,"UPX",3
"N",2014,4,"UPX",1
"N",2014,5,"UPX",NA
"N",2014,6,"UPX",NA
"N",2014,7,"UPX",NA
"N",2014,8,"UPX",NA
"N",2014,9,"UPX",NA
"N",2014,10,"UPX",NA
"N",2014,11,"UPX",NA
"N",2014,12,"UPX",NA
"EP",2015,1,"UPX",NA
"EP",2015,2,"UPX",4
"EP",2015,3,"UPX",6
"EP",2015,4,"UPX",1
"EP",2015,5,"UPX",NA
"EP",2015,6,"UPX",NA
