"Site","Transect","Quadrat","Number_Missing"
"EP",1,"Q1",4
"EP",1,"Q2",4
"EP",1,"Q3",4
"EP",1,"Q4",4
"EP",1,"Q5",4
"EP",2,"Q1",4
"EP",2,"Q2",4
"EP",2,"Q4",2
"EP",2,"Q5",3
"EP",3,"Q3",3
"EP",3,"Q4",4
"EP",3,"Q5",4
"EP",4,"Q1",4
"EP",4,"Q3",1
"EP",4,"Q5",4
"EP",5,"Q1",4
"EP",5,"Q3",3
"EP",5,"Q5",4
"EP",6,"Q1",3
"EP",6,"Q2",4
"EP",6,"Q3",4
"EP",6,"Q4",1
"EP",7,"Q1",4
"EP",7,"Q2",4
"EP",7,"Q4",4
"EP",8,"Q1",4
"EP",8,"Q2",3
"EP",8,"Q3",4
"EP",8,"Q4",4
"EP",8,"Q5",4
"EP",9,"Q1",4
"EP",9,"Q4",2
"EP",9,"Q5",4
"EP",10,"Q1",4
"EP",10,"Q2",4
"EP",10,"Q3",4
"EP",10,"Q4",4
"EP",10,"Q5",3
"EP",11,"Q1",4
"EP",11,"Q2",1
"EP",11,"Q4",4
"EP",11,"Q5",4
"EP",12,"Q1",4
"EP",12,"Q2",4
"EP",12,"Q3",4
"EP",12,"Q4",4
"GC",1,"Q1",3
"GC",1,"Q2",1
"GC",1,"Q3",2
"GC",1,"Q4",2
"GC",1,"Q5",3
"GC",2,"Q1",1
"GC",2,"Q2",2
"GC",2,"Q3",3
"GC",2,"Q4",2
"GC",2,"Q5",3
"GC",3,"Q1",2
"GC",3,"Q3",3
"GC",3,"Q4",1
"GC",3,"Q5",3
"GC",4,"Q1",3
"GC",4,"Q2",3
"GC",4,"Q3",3
"GC",4,"Q4",3
"GC",4,"Q5",2
"GC",5,"Q3",4
"GC",5,"Q5",3
"GC",6,"Q1",2
"GC",6,"Q2",1
"GC",6,"Q5",1
"GC",7,"Q1",1
"GC",7,"Q3",4
"GC",7,"Q4",2
"GC",7,"Q5",2
"GC",8,"Q1",3
"GC",8,"Q4",2
"GC",8,"Q5",2
"GC",9,"Q1",4
"GC",9,"Q2",3
"GC",9,"Q3",3
"GC",9,"Q4",4
"GC",9,"Q5",4
"GC",10,"Q1",3
"GC",10,"Q2",3
"GC",10,"Q3",3
"GC",10,"Q4",3
"GC",10,"Q5",3
"GC",11,"Q1",3
"GC",11,"Q2",4
"GC",11,"Q3",3
"GC",11,"Q4",3
"GC",11,"Q5",4
"GC",12,"Q1",3
"GC",12,"Q2",3
"GC",12,"Q3",3
"GC",12,"Q4",4
"GC",12,"Q5",3
"Med",1,"Q1",3
"Med",1,"Q2",4
"Med",1,"Q3",4
"Med",1,"Q4",4
"Med",1,"Q5",4
"Med",2,"Q1",4
"Med",2,"Q2",4
"Med",2,"Q3",1
"Med",2,"Q4",2
"Med",2,"Q5",3
"Med",3,"Q1",1
"Med",3,"Q4",2
