"Site","Transect","Species","Avg_Count"
"EP",1,"CAMA",2
"EP",1,"FUHE",0
"EP",1,"FUMA",0
"EP",1,"PUGIO",0
"EP",1,"UPX",1
"EP",2,"CAMA",1
"EP",2,"FUHE",0.5
"EP",2,"FUMA",0
"EP",2,"PUGIO",0
"EP",2,"UPX",1
"EP",3,"CAMA",4
"EP",3,"FUHE",0
"EP",3,"FUMA",0
"EP",3,"PUGIO",0
"EP",3,"UPX",0
"EP",4,"CAMA",2.66666666666667
"EP",4,"FUHE",0
"EP",4,"FUMA",0
"EP",4,"PUGIO",0
"EP",4,"UPX",4.5
"EP",5,"CAMA",4
"EP",5,"FUHE",1
"EP",5,"FUMA",0
"EP",5,"PUGIO",0
"EP",5,"UPX",2
"EP",6,"CAMA",0.666666666666667
"EP",6,"FUHE",0
"EP",6,"FUMA",0
"EP",6,"PUGIO",0
"EP",6,"UPX",2.33333333333333
"EP",7,"CAMA",1
"EP",7,"FUHE",0
"EP",7,"FUMA",0
"EP",7,"PUGIO",0
"EP",7,"UPX",2
"EP",8,"CAMA",4.33333333333333
"EP",8,"FUHE",4
"EP",8,"FUMA",0
"EP",8,"PUGIO",0
"EP",8,"UPX",4.5
"EP",9,"CAMA",0.666666666666667
"EP",9,"FUHE",0
"EP",9,"FUMA",0
"EP",9,"PUGIO",0
"EP",9,"UPX",3.5
"EP",10,"CAMA",0
"EP",10,"FUHE",0.5
"EP",10,"FUMA",0
"EP",10,"PUGIO",0
"EP",10,"UPX",0
"EP",11,"CAMA",0
"EP",11,"FUHE",0
"EP",11,"FUMA",0
"EP",11,"PUGIO",0
"EP",11,"UPX",0
"EP",12,"CAMA",0
"EP",12,"FUHE",1.5
"EP",12,"FUMA",0
"EP",12,"PUGIO",0
"EP",12,"UPX",1
"GC",1,"CAMA",17.6
"GC",1,"NASC",0
"GC",2,"CAMA",1.4
"GC",2,"NASC",3
"GC",3,"CAMA",6
"GC",3,"NASC",1
"GC",4,"CAMA",2.6
"GC",4,"NASC",0
"GC",5,"CAMA",7.6
"GC",5,"NASC",0
"GC",6,"CAMA",12.75
"GC",6,"NASC",0
"GC",7,"CAMA",5.6
"GC",7,"NASC",1
"GC",8,"CAMA",2
"GC",8,"NASC",0
"GC",9,"CAMA",1.4
"GC",9,"NASC",1
"GC",10,"CAMA",11.6
"GC",10,"NASC",1.5
"GC",11,"CAMA",4.2
"GC",11,"NASC",0
"GC",12,"CAMA",6.8
"GC",12,"NASC",0
"Med",1,"CAMA",0
"Med",1,"CASA",1
"Med",2,"CAMA",0
"Med",2,"CASA",0
"Med",3,"CAMA",0
"Med",3,"CASA",0
"Med",4,"CAMA",0
"Med",4,"CASA",2
"Med",5,"CAMA",1
"Med",5,"CASA",0
"Med",6,"CAMA",0
"Med",6,"CASA",1
"Med",7,"CAMA",0
"Med",7,"CASA",0
"Med",8,"CAMA",0
"Med",8,"CASA",1
"Med",9,"CAMA",0
"Med",9,"CASA",2
"Med",10,"CAMA",0
"Med",10,"CASA",0
"Med",11,"CAMA",0
"Med",11,"CASA",0
"Med",12,"CAMA",0
"Med",12,"CASA",0
"Med",NA,"CAMA",0
"Med",NA,"CASA",0
"N",1,"CAMA",1
"N",1,"CASA",0
"N",1,"HESA",0
"N",1,"LIB",1
"N",1,"PAHE",0
"N",2,"CAMA",3
"N",2,"CASA",0
"N",2,"HESA",0
"N",2,"LIB",0
"N",2,"PAHE",0
"N",3,"CAMA",1
"N",3,"CASA",0
"N",3,"HESA",0
"N",3,"LIB",0
"N",3,"PAHE",2
"N",4,"CAMA",2
"N",4,"CASA",1
"N",4,"HESA",0
"N",4,"LIB",0
"N",4,"PAHE",0
"N",5,"CAMA",0
"N",5,"CASA",2
"N",5,"HESA",0
"N",5,"LIB",0
"N",5,"PAHE",0
"N",6,"CAMA",2
"N",6,"CASA",0
"N",6,"HESA",0
"N",6,"LIB",0
