"Species","Protocol"
"Acantheperia stellata","Vacuum Sampling"
"Acrodactyla sp","Vacuum Sampling"
"ALOSA","Video Sampling"
"AMPH","Deep Pitfall"
"Amphipoda","Vacuum Sampling"
"AMRO","Birds"
"another moth","Vacuum Sampling"
"Anurida maritima","Vacuum Sampling"
"APELT","Video Sampling"
"Armidillidiidae","Vacuum Sampling"
"AROS","Traps"
"BBG","Birds"
"BBPLOV","Birds"
"beetle","Vacuum Sampling"
"BHER","Birds"
"black ant (Formicidae)","Vacuum Sampling"
"Black ant (Formicidae)","Vacuum Sampling"
"black white salticidae","Vacuum Sampling"
"BLANT","Shallow Pitfall"
"Blattodea","Vacuum Sampling"
"Blue Larva?","Vacuum Sampling"
"Brown mite","Vacuum Sampling"
"BSWAL","Birds"
"Burrows","Quadrat"
"callitula sp","Vacuum Sampling"
"CAMA","Deep Pitfall"
"CAMA.J","Deep Pitfall"
"Carcinus maenas","Vacuum Sampling"
"Carcinus.maenas","Cores"
"CASA","Deep Pitfall"
"CAT","Birds"
"Caterpillar 1","Vacuum Sampling"
"cecidomyidae","Vacuum Sampling"
"Cecidomyidae","Vacuum Sampling"
"Cercyonis pegala","Vacuum Sampling"
"CEWA","Birds"
"Chaetopsis sp.","Vacuum Sampling"
"CHIC","Birds"
"CHLOR","Shallow Pitfall"
"Chlorochroa senilis","Vacuum Sampling"
"Chloropidae","Vacuum Sampling"
"Cicadellidae","Vacuum Sampling"
"clam","Cores"
"Clubonia","Vacuum Sampling"
"Clubonia sp","Vacuum Sampling"
"COLEO","Shallow Pitfall"
"Coleoptera myxophaga","Vacuum Sampling"
"Collembola","Vacuum Sampling"
"Columbola sminthuriadae","Vacuum Sampling"
"Conocephalus spartinae","Vacuum Sampling"
"Conura sp","Vacuum Sampling"
"CORM","Birds"
"COTE","Birds"
"cousin tythus","Vacuum Sampling"
"Cousin tythus","Vacuum Sampling"
"Cousin Tytthus","Vacuum Sampling"
"Cousin Tyythus","Vacuum Sampling"
"CROW","Birds"
"CTEN","Video Sampling"
"Curculionidae","Vacuum Sampling"
"CYPHON","Shallow Pitfall"
"Cyphon sp.","Vacuum Sampling"
"CYVA","Traps"
"delphacodes","Vacuum Sampling"
"Delphacodes","Vacuum Sampling"
"Dohrniphora sp","Vacuum Sampling"
"DOLI","Shallow Pitfall"
"Dolichopodidae","Vacuum Sampling"
"DOW","Birds"
"DUCK","Birds"
"EGR","Birds"
"Enallagma","Vacuum Sampling"
"ephemeroptera???","Vacuum Sampling"
"Eriococcuc dennoi","Vacuum Sampling"
"Erythrid mite","Vacuum Sampling"
"FID","Video Sampling"
"FLOUNDER","Traps"
"Fly larvae","Vacuum Sampling"
"Flying black ant","Vacuum Sampling"
"FUCO","Traps"
"FUHE","Deep Pitfall"
"FUMA","Traps"
"FUME","Video Sampling"
"GBBG","Birds"
"GEFLY","Shallow Pitfall"
"GEGR","Birds"
"Geukensia.demissa","Cores"
"GOLD","Birds"
"GOOS","Birds"
"GRAC","Birds"
"Grammonota trivitatta","Vacuum Sampling"
"green eye fly","Vacuum Sampling"
"GREGR","Birds"
"GRYE","Birds"
"GRYL","Deep Pitfall"
"Gryllus sp.","Vacuum Sampling"
"Habronattus","Vacuum Sampling"
"Haplogonatopus","Vacuum Sampling"
"HAR","Birds"
"Hebridae","Vacuum Sampling"
"HEG","Birds"
"hemiptera nymph","Vacuum Sampling"
"hemipterid x","Vacuum Sampling"
"HESA","Deep Pitfall"
"Hidrophilidae larva","Vacuum Sampling"
"HOG","Deep Pitfall"
"Hogna sp","Vacuum Sampling"
"HYDRO","Shallow Pitfall"
"Hydrophilidae larvae","Vacuum Sampling"
"Hyposinga variabilis","Vacuum Sampling"
"instar nymph pentatomidae","Vacuum Sampling"
"Instar nymph pentatomidae","Vacuum Sampling"
"Intercella sp.","Vacuum Sampling"
"Iridescent fly","Vacuum Sampling"
"IRR","Video Sampling"
"Ischnodemus badius","Vacuum Sampling"
"Juv dragonfly","Vacuum Sampling"
"juv oyster","Vacuum Sampling"
"Juv oyster","Vacuum Sampling"
"juvenile spider","Vacuum Sampling"
"KESTROL","Birds"
"KILL","Birds"
"KING","Video Sampling"
"KUTU","Birds"
"LAG","Birds"
"Large abdomen salticidae","Vacuum Sampling"
"larvae diatizid","Vacuum Sampling"
"Larvae Elmidae beetle","Vacuum Sampling"
"LAS","Shallow Pitfall"
"lasius","Vacuum Sampling"
"Lasius","Vacuum Sampling"
"Lenaphid spider","Vacuum Sampling"
"LESA","Birds"
"LIB","Deep Pitfall"
"lima bean moth","Vacuum Sampling"
"Limu","Video Sampling"
"linyphidae","Vacuum Sampling"
"Linyphidae","Vacuum Sampling"
"LIT","Shallow Pitfall"
"Litoraria.sp","Cores"
"Littorina","Quadrat"
"Littorina littorea","Vacuum Sampling"
"long abdomen salticidae","Vacuum Sampling"
"long antenna true bug","Vacuum Sampling"
"Long antenna true bug","Vacuum Sampling"
"Long legged mosquito","Vacuum Sampling"
"long nose black beetle","Vacuum Sampling"
"Long nose black beetle","Vacuum Sampling"
"Looks like tythus unknown 91","Vacuum Sampling"
"LSPIP","Birds"
"LTERN","Birds"
"Lygaeidae","Vacuum Sampling"
"LYLEGS","Birds"
"MAKE","Birds"
"MAL","Birds"
"Manayunkia.aestuarina","Cores"
"Mantis religiosa","Vacuum Sampling"
"Marpissa sp","Vacuum Sampling"
"MARTIN","Birds"
"MEBI","Deep Pitfall"
"Megamealus sp.","Vacuum Sampling"
"Melampus","Quadrat"
"Melampus bidentata","Vacuum Sampling"
"MENI","Video Sampling"
"MENI?","Video Sampling"
"MERL","Birds"
"miridae tytthos","Vacuum Sampling"
"MOCK","Birds"
"MOOO","Birds"
"MOR","Video Sampling"
"MOURNINGDOVE","Birds"
"Mussels","Quadrat"
"Mycetophilidae","Vacuum Sampling"
"Naemia sp.","Vacuum Sampling"
"NASC","Deep Pitfall"
"new red ant","Vacuum Sampling"
"NHER","Birds"
"NIGHT BUTTERFLY","Vacuum Sampling"
"Noctuidae","Vacuum Sampling"
"NOFL","Shallow Pitfall"
"OCCO","Birds"
"Ochlerotatus sollicitans","Vacuum Sampling"
"Oniscidea Venzillus parvus","Vacuum Sampling"
"Orabatis hemelius","Vacuum Sampling"
"orobatid mite","Vacuum Sampling"
"Orobatid mite","Vacuum Sampling"
"OSP","Birds"
"other hyposinga","Vacuum Sampling"
"Other hyposinga","Vacuum Sampling"
"OVAL","Traps"
"OYS","Birds"
"PAHE","Traps"
"PAPO","Traps"
"PAPU","Video Sampling"
"Paraclius sp","Vacuum Sampling"
"paraclius sp.","Vacuum Sampling"
"Paraclius sp.","Vacuum Sampling"
"PARD","Deep Pitfall"
"Pardosa sp","Vacuum Sampling"
"Pardosa sp.","Vacuum Sampling"
"Pentatomidae","Vacuum Sampling"
"PIPE","Traps"
"PLOV","Birds"
"POLY","Traps"
"Polychaeta","Cores"
"PPLOV","Birds"
"prokelisia sp","Vacuum Sampling"
"Prokelisia sp","Vacuum Sampling"
"Pseudoscorpiones","Vacuum Sampling"
"Pterostichus","Vacuum Sampling"
"PUGIO","Deep Pitfall"
"Purple butt fly","Vacuum Sampling"
"pyrrhocoridae sp","Vacuum Sampling"
"Red ant","Vacuum Sampling"
"Red spot spider","Vacuum Sampling"
"REDHAWK","Birds"
"Reduviidae","Vacuum Sampling"
"RUDD","Birds"
"RWB","Birds"
"Salticidae","Vacuum Sampling"
"SES","Deep Pitfall"
"Sesarma reticulatum","Vacuum Sampling"
"SLING","Birds"
"Sminthuridae","Vacuum Sampling"
"SMSPAR","Birds"
"SNOWY","Birds"
"Spathius sp.","Vacuum Sampling"
"Spotted spider","Vacuum Sampling"
"SPPIP","Birds"
"SPPLOV","Birds"
"Strepsiptera (Elenchus)","Vacuum Sampling"
"STRO","Video Sampling"
"SWAL","Birds"
"SWAN","Birds"
"TANI","Deep Pitfall"
"Tetragnatha sp","Vacuum Sampling"
"Thripidae sp.","Vacuum Sampling"
"Tick","Vacuum Sampling"
"Tineidae","Vacuum Sampling"
"tipula fuliginosa","Vacuum Sampling"
"Tipula sp.","Vacuum Sampling"
"Tipulidae","Vacuum Sampling"
"Trigonotylus sp","Vacuum Sampling"
"Trombid mite","Vacuum Sampling"
"TSMSPAR","Birds"
"TSSB (THREE SPINE)","Video Sampling"
"TSWAL","Birds"
"TUVU","Birds"
"TWOHEE","Birds"
"Tytthus sp.","Vacuum Sampling"
"UCA","Video Sampling"
"Uca.sp","Cores"
"UKN mosquito","Vacuum Sampling"
"UNK Big mite (94)","Vacuum Sampling"
"UNK fly","Vacuum Sampling"
"Unk mosquito","Vacuum Sampling"
"UNK salticidae","Vacuum Sampling"
"Unknown","Video Sampling"
"UNKNOWN","Video Sampling"
"unknown @ end","Video Sampling"
"Unknown 1","Video Sampling"
"unknown 2","Video Sampling"
"Unknown 2","Video Sampling"
"unknown 52","Vacuum Sampling"
"unknown 62","Vacuum Sampling"
"unknown 63","Vacuum Sampling"
"unknown coleopterid","Vacuum Sampling"
"Unknown crab","Vacuum Sampling"
"Unknown fat bug 93","Vacuum Sampling"
"Unknown fly","Vacuum Sampling"
"UNKNOWN FLY","Vacuum Sampling"
"Unknown grasshopper","Vacuum Sampling"
"unknown Hermit CAMA","Video Sampling"
"unknown hymenopterid","Vacuum Sampling"
"unknown ladybug","Vacuum Sampling"
"Unknown ladybug","Vacuum Sampling"
"Unknown larva","Vacuum Sampling"
"unknown leaf hopper","Vacuum Sampling"
"Unknown Long legs short wings","Vacuum Sampling"
"Unknown Morph","Vacuum Sampling"
"Unknown mosquito","Vacuum Sampling"
"Unknown wasp unknown 92","Vacuum Sampling"
"UPU","Deep Pitfall"
"UPX","Deep Pitfall"
"VENZ","Shallow Pitfall"
"Venzilla parvus","Vacuum Sampling"
"VULT","Birds"
"WASP","Shallow Pitfall"
"WHIM","Birds"
"WILLETT","Birds"
"Winged cousin tythus","Vacuum Sampling"
"Xylocopinae","Vacuum Sampling"
"YLEGS","Birds"
"Ymenoptera ichneumonid","Vacuum Sampling"
NA,"Vacuum Sampling"
